domain,category,source_query,first_impression
2daysmood.com,C1,werkgeluk meten HR,Werkgeluk-meting blog met kennisartikelen voor HR-professionals.
afas.nl,C1|C10,duurzame inzetbaarheid kennisbank,AFAS blog/kennisbank met HR en duurzame inzetbaarheid content.
appwiki.nl,C2|C10,verzuim software vergelijken,Vergelijkingsplatform voor HR/verzuim software met redactionele content.
arbo-online.nl,C2|C4|C6|C12,arbo vakblad gastartikel,Grootste kennisplatform voor arboprofessionals met nieuws en best practices.
arboteam.nl,C16,mindful werken blog,Arbo-aanbieder met blog over mindful werken en werkstress.
atarbo.nl,C4,vitaliteit op werkvloer,Arbodienst @arbo met preventieblog over vitaliteit.
bedrijfsartsworden.nl,C3,bedrijfsarts opleiding,Informatieplatform over bedrijfsartsenvak met content over het beroep.
bestuursacademie.nl,C6,leidinggeven blog Nederland artikel,Bestuursacademie blog met content voor (startende) leidinggevenden
bgmagazine.nl,C3|C4,bedrijfsarts HR magazine,BG Magazine - Next level HR met re-integratie en bedrijfsgeneeskunde content.
bofit.nl,C11,psycholoog blog werkgever Nederland burn-out,Burn-outcoachingsplatform met werkgeversangle en blogs over vergoedingen/herstel.
bpsw.nl,C12,Zorg en Welzijn vakblad publicatie auteur,Beroepsvereniging Sociaal Werk met vakblad - sociaal-werk context.
burnoutpreventienederland.nl,C11,mental coach blog NL stress werknemer,Burn-outpreventieplatform - directe doelgroep voor zenuwstelsel-regulatie content.
care4careers.nl,C16,casemanager re-integratie,Re-integratiebureau met kenniscentrum over casemanagement.
cnv.nl,C15,CNV Onderwijs HR blog,CNV vakbond met sectorpagina's onderwijs/zorg/overheid en blogs over burn-out en werkdruk.
coachingvoormij.nl,C11,coaching platform Nederland gastauteur artikel,Coachmatchplatform - mogelijk kanaal voor educatieve content.
conciencia-coaching.nl,C15,CNV Onderwijs HR blog,Coachpraktijk met blogs over oorzaken burn-out in onderwijs.
de-nfg.nl,C8,coach federatie Nederland blog,Nederlandse Federatie Gezondheidszorg met coachregister - relevante professional doelgroep.
denieuweleider.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingsplatform met content over authentiek leiderschap
depsycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Psychologenplatform met artikelen rol werkgever bij burn-out.
driessengroep.nl,C1,HR Zone werkgeluk,Beheert meerdere kennisplatforms (Trends in HR / werk&geluk) gericht op HR-inspiratie.
egonbeaart.nl,C6,leiderschap blog Nederland gastauteur,Expert-blog over persoonlijk leiderschap
evr.nl,C4,mentaal welzijn werkvloer,Adviesbureau met nieuwsblog over verzuim en mentaal welzijn.
fhris.nl,C10,verzuimsoftware blog Nederland werkgever,Aanbieder van HR- en verzuimregistratie-software met inhoudelijke blogs
fnv.nl,C15,FNV werkgever blog,FNV met uitgebreide content over werkdruk en burn-out voor sectoren en werkgevers.
gezondinbedrijf.com,C7,Zilveren Kruis werkgevers blog,Business school voor verzuim & vitaliteit met blog gericht op HR en leidinggevenden.
goudse.nl,C5,Nederlandse ondernemers magazine personeel verzuim,De Goudse verzekeraar met praktische tips voor MKB over verzuim
handboekarbeidengezondheid.nl,C12,vakblad arbeid en gezondheid Nederland,Handboek Arbeid & Gezondheid - autoriteitsbron rond werk-gezondheid.
heart4happiness.nl,C16,polyvagaal blog Nederland,Coachingpraktijk met content over zenuwstelsel en stress.
hoorayhr.io,C1|C16|C5,verzuim platform HR,All-in-one HR software voor MKB met verzuim/verlof content en blog.
hrnavigator.nl,C2|C10,HR community blog verzuim,Praktisch HR-blog over verzuim met aandacht voor roze verzuim en burn-out signalering.
icthealth.nl,C12,ICT Health Nederland artikel insturen,Vakblad zorginnovatie met laagdrempelig contact voor gastartikelen via redactie.
interimworx.nl,C15,zorg HR blog Nederland,Detacheerder HR in de zorg met sectorinformatie.
ixly.com,C6,leiderschap blog Nederland gastauteur,Assessment-aanbieder met blog over leiderschap en HR-thema's
kennisplatformfysiotherapie.nl,C8,KNGF fysiotherapie blog gastauteur,KNGF-richtlijnen platform met ruimte voor inhoudelijke vakinhoud.
lad.nl,C15,SBOH huisarts bedrijfsarts,Landelijke vereniging artsen in dienstverband met cao- en HR-content voor zorg.
lerendeleiders.nl,C6,leiderschap blog Nederland gastauteur,Online community voor mensen die zich verdiepen in leiderschap
loyalis.nl,C7,inkomensverzekeraar blog werkgever,Specialist inkomensverzekering met content voor werkgevers in zorg/bouw/onderwijs/overheid.
managementstart.nl,C6,directeur platform Nederland artikel publiceren,Platform voor managers en directeuren met open uitnodiging om te publiceren
mensenverzuim.nl,C16,casemanagement verzuim,Mens-&-Verzuim platform met kennisbank casemanagement.
mijnbedrijfszorg.nl,C11,mental coach blog NL stress werknemer,Bedrijfszorgplatform met mentaal welzijn voor medewerkers - aansluitende B2B-context.
mkbdirect.nl,C2,arbodienst MKB,MKB-nieuwsplatform met arbodienst-content voor kleinere werkgevers.
nalk.info,C8,beroepsvereniging psychosomatisch fysiotherapie,Nederlands Kennisnetwerk Aanhoudende Lichamelijke Klachten - inhoudelijke aansluiting psychosomatiek.
nfp.kngf.nl,C8,beroepsvereniging psychosomatisch fysiotherapie,Beroepsverenging psychosomatisch fysiotherapeuten (NFP) - direct relevante doelgroep en kanaal.
niped.nl,C4,mentaal welzijn werkgever,Preventief gezondheidsplatform met kennisbank over mentale klachten.
