domain,category,source_query,first_impression
academysuite.nl,C15,SectorplanPlus zorg welzijn,Opleidingsplatform met blogs over behoud zorgmedewerkers.
amersfoortse.nl,C16,slaaptips werkgever blog,Verzekeraar De Amersfoortse met werkgeversblog over slaap en mindful werken.
arbeidsmarktplatformpo.nl,C15,Arbeidsmarktplatform PO leraar,Expertisecentrum arbeidsmarkt primair onderwijs met onderzoeken over werkbelasting leraren.
arboportaal.nl,C2|C12,arbo vakblad gastartikel,Officieel arbo-kennisportal van Rijksoverheid met magazines en externe bronnen.
atarbo.nl,C4,vitaliteit op werkvloer,Arbodienst @arbo met preventieblog over vitaliteit.
bedrijfsfitnessnederland.nl,C2|C4,burn-out preventie cijfers,Kennisbank met artikelen over burn-outpreventie en employee benefits.
betuwsverzuimadvies.nl,C2,RCMS register casemanagement,Verzuimadviseur blog met informatie over casemanagement register.
blog.vebego.nl,C4,vitaliteit werkgever blog,Corporate blog van facilitair bedrijf met vitaliteitstips voor medewerkers.
bouwenuitvoering.nl,C15,Goedopgeleidpersoneel bouw infra,Vakblad bouw infra techniek met artikelen over branche en personeel.
burnoutpreventienederland.nl,C11,mental coach blog NL stress werknemer,Burn-outpreventieplatform - directe doelgroep voor zenuwstelsel-regulatie content.
centraalbeheer.nl,C1|C16,duurzame inzetbaarheid blog,Verzekeraar zakelijke blog met Lekker Bezig programma over duurzame inzetbaarheid.
coachfinder.nl,C11,coach federatie Nederland blog,Coachzoekplatform met informatieartikelen over beroepsverenigingen.
compendiumgeneeskunde.nl,C3,bedrijfsgeneeskunde compendium,Naslagwerk over bedrijfsgeneeskunde voor medische professionals.
cz.nl,C7,CZ zakelijk werkgever artikel,Zakelijk portaal van zorgverzekeraar CZ met uitgebreide verzuim- en inzetbaarheidscontent.
denieuweleider.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingsplatform met content over authentiek leiderschap
devitaliteitsmanager.nl,C4,vitaliteitsmanager blog,Adviespraktijk met blog over verzuimreductie en vitaal leiderschap.
dutchhealthhub.nl,C15,zorg HR blog Nederland,Online medium zorg-management met artikel over Zorg & HR.
