domain,category,source_query,first_impression
aeno.nl,C9,gemeente werkgevers vitaliteit blog,A&O fonds Gemeenten met blog en kennisbank over vitaliteit en thuiswerken.
aovergelijken.nl,C7,inkomensverzekeraar blog werkgever,Blogplatform over arbeidsongeschiktheidsverzekeringen.
arbo-online.nl,C2|C4|C6|C12,arbo vakblad gastartikel,Grootste kennisplatform voor arboprofessionals met nieuws en best practices.
arbounie.nl,C16|C8,arbo werkstress,Arbodienst met grote kennisbank voor werknemers en werkgevers.
avansplus.nl,C13,Avans HR blog opleiding HRM,Avans+ post-bachelor HRM-blog met praktijkartikelen over HR-vakgebied.
bentlie.nl,C9,SER blog werkgever Nederland,Adviesbureau met kennisartikelen over duurzame inzetbaarheid.
bewegingveroorzakers.nl,C6,leidinggeven blog Nederland artikel,Adviespraktijk met blog over leiderschapstheorie en praktijk
bofit.nl,C11,psycholoog blog werkgever Nederland burn-out,Burn-outcoachingsplatform met werkgeversangle en blogs over vergoedingen/herstel.
brainnetwork.nl,C11,psychosomatiek blog Nederland werk gezondheid,Psychologie-blog over breinwerking - dichtbij zenuwstelselthema.
caogemeenten.nl,C9,gemeente werkgevers vitaliteit blog,Centrale site cao-Gemeenten met richtlijnen over vitaliteitsbeleid.
chro.nl,C1|C6|C12,HR vakblad gastblog,Platform en magazine voor CHRO's en HR-directeuren; potentieel voor strategische bijdragen over verzuim en welzijn.
coachingfederation.nl,C8,coach federatie Nederland blog,ICF Netherlands chapter met blog over coachingvakgebied en professionele standaarden.
conciencia-coaching.nl,C15,CNV Onderwijs HR blog,Coachpraktijk met blogs over oorzaken burn-out in onderwijs.
de-online-psycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Online psychologenpraktijk met blogs rond burn-out preventie en herstel.
denkproducties.nl,C6,"""BNR"" OR ""Quote"" OR ""Forbes Nederland"" ondernemers business leiderschap",Eventorganisator met blog over werkgeluk leiderschap en MT-thema's
draai.nu,C2,RCMS casemanagement,RSC-portaal met content voor specialistisch casemanagers.
duurzameinzetbaarheid.nl,C2,duurzame inzetbaarheid platform,Kennisportal duurzame inzetbaarheid met praktijkvoorbeelden en interventies.
evr.nl,C4,mentaal welzijn werkvloer,Adviesbureau met nieuwsblog over verzuim en mentaal welzijn.
fitvoormorgen.pggmenco.nl,C7,vernet verzuim benchmark zorg,Platform PGGM&CO met producten en diensten rond verzuim in zorg.
gebouwschilnederland.nl,C9,bouw HR blog Nederland verzuim,Brancheorganisatie met tips & tools duurzame inzetbaarheid bouw.
goingconcern.nl,C16,burn-out re-integratie blog,Re-integratiebureau met blog gericht op werkgevers en burn-outtrajecten.
han.nl,C13,HAN HRM lectoraat blog publicatie,HAN lectoraat HRM en lectoraat Arbeid & Gezondheid - directe inhoudelijke match.
heart4happiness.nl,C16,polyvagaal blog Nederland,Coachingpraktijk met content over zenuwstelsel en stress.
hr24.nl,C1,expertbijdrage HR,Regionaal HR-netwerk Noord-Nederland met trainingen en kennisdeling.
hsk.nl,C11,mental coach blog NL stress werknemer,HSK Groep - psychologische zorg en mental coaching voor werknemers met nieuwsblog.
industrievandaag.nl,C15,industrie HR vakblad NL,Onafhankelijk platform met overzicht industrievakbladen en HR-nieuws.
ivvo.nl,C9,SER blog werkgever Nederland,Kennisplatform met blog over wat duurzame inzetbaarheid betekent.
kennisplatformfysiotherapie.nl,C8,KNGF fysiotherapie blog gastauteur,KNGF-richtlijnen platform met ruimte voor inhoudelijke vakinhoud.
leanz.nl,C2,arbeidsdeskundige UWV,Blog over arbeidsdeskundigen en re-integratie processen.
lifeguard.nl,C14,Lifeguard mentaal welzijn werkgever,Vitaliteitsbureau met uitgebreide blog over mentale vitaliteit werkvloer.
managementscope.nl,C6,management vakblad Nederland schrijf mee bijdrage,Vakblad voor managers directeuren en commissarissen
medprevent.nl,C16,slaap arbodienst Nederland,Gecertificeerde arbodienst met blog over slaap en gezondheid.
mijnbedrijfszorg.nl,C11,mental coach blog NL stress werknemer,Bedrijfszorgplatform met mentaal welzijn voor medewerkers - aansluitende B2B-context.
mkbservicedesk.nl,C5,"""MKB Servicedesk"" OR ""De Ondernemer"" gastauteur",Kennisbank van MKB-Nederland met sectie over verzuim en re-integratie
ncoi.nl,C6|C13,leidinggeven blog Nederland artikel,Opleider met uitgebreide blog over management en leidinggeven
nielsvansanten.nl,C16,polyvagaal Nederland blog,Therapeut/blogger over stress en polyvagaal theorie.
nobco.nl,C8,NOBCO coaching blog Nederland,Grootste beroepsvereniging coaches NL met e-magazine Coach voor gastbijdragen.
nvab-online.nl,C3|C8,NVAB publicatie,Beroepsvereniging bedrijfsartsen NVAB; richtlijnen en actueel-sectie.
ondernemersbelang.nl,C16,ergonomie mentaal welzijn,Ondernemersmedium met regiocontent over werknemerswelzijn en ergonomie.
onvz.nl,C7,ONVZ werkgever content,Werkgeverssectie 'Job Werkt' met blogs over vitaliteit en preventie voor werkgevers.
oval.nl,C3|C4|C8,OVAL arbodienst,Brancheorganisatie arbodiensten met nieuws en checklists; thematische dossiers vitaliteit.
perspectief-adviesgroep.nl,C9,UWV Perspectief artikel werkgever,Adviesgroep voor bedrijfsoptimalisatie en verzuim-/re-integratiebegeleiding.
prikvandezaak.nl,C4,vitaliteit werkgever blog,Werkgeversblog met content over fysieke en mentale gezondheid op werkvloer.
psychosenet.nl,C16,polyvagaal informatie,Patiëntenplatform met betrouwbare info over polyvagaal therapie.
rabobank.nl,C5,ondernemers blog Nederland verzuim,Rabobank ondernemers-portaal met content over verzuim en personeel
rivm.nl,C4,preventie werknemer blog,Overheidskennisinstituut met dossier preventie op werk.
samenvoordeklant.nl,C9,WSP werkgeversservicepunt artikel,Landelijk platform werkgeversservicepunten met content over arbeidsmarkt.
sensgezondheidszorg.nl,C16,psychosomatische fysiotherapie,Zorginstelling met informatieve content over psychosomatiek.
smartservices.nl,C5,ondernemers blog Nederland verzuim,Arbo/verzuim-adviseur met blog gericht op MKB-ondernemers
sterkdoorwerk.nl,C4,preventie werknemer blog,Platform gericht op preventie en arbeidsongeschiktheid bij werkenden.
team-hr.nl,C5,MKB platform Nederland gastartikel HR,HR-adviesbureau voor MKB met content over personeelsstrategie
tijdschriftdepsycholoog.nl,C8,NIP psychologie publicatie auteur,NIP-vakblad De Psycholoog accepteert auteursvoorstellen met wetenschappelijke onderbouwing.
transvorm.org,C15,Transvorm zorg arbeidsmarkt,Regionale werkgeversorganisatie zorg/welzijn Brabant met blogs en artikelen.
upledger.nl,C16,polyvagaal blog,Opleidingsinstituut craniosacraal met blog over zenuwstelsel.
