rank,domain,category,fit_score,composite_score,domain_rating_estimate,dr_label,recent_article_date,recent_article_url,recent_article_title,doelgroep_match,doelgroep_omschrijving,fit_motivation,pitch_angle,submission_proces_hint,submission_url_hint,first_impression,source_query,verified_via,agent_id
1,managementsite.nl,C4|C6,5,0.85,HIGH (DR 60+),estimated,2026,https://www.managementsite.nl/stoppen-met-het-begrip-hrm-vanaf-2026,Stoppen met het begrip 'HRM' vanaf 2026?!,HR,"Managers, bestuurders en HR-professionals — brede managementcommunity met opinie- en kennisartikelen.","Toonaangevende managementsite met open auteursplatform, hoge autoriteit en directe HR/management-publiek — top prioriteit.",Hoe HR-managers in 2026 zenuwstelsel-regulatie centraal stellen om burn-out en disengagement te keren.,open call,niet gevonden,Brede online management-publicatie met artikelen vitaliteit en burn-out.,vitaliteitsmanagement blog,WebSearch,E
2,nobco.nl,C8,5,0.85,HIGH (DR 60+),estimated,2026,https://nobco.nl/supervisie-wordt-vanaf-1-januari-2026-verplicht-voor-alle-aangesloten-coaches/,Supervisie wordt vanaf 1 januari 2026 verplicht voor alle aangesloten coaches,coach,"Aangesloten coaches, supervisoren en opleiders binnen het Nederlandse coaching-vakgebied.",Grootste coachvereniging NL met e-magazine en wetenschappelijk symposium; sterke match voor zenuwstelsel-content voor coaches in HR-context.,Hoe coaches zenuwstelsel-regulatie inzetten als evidence-informed interventie bij burn-out- en stresscoachingstrajecten.,open call,https://nobco.nl/nieuws-inspiratie/nieuws/,Grootste beroepsvereniging coaches NL met e-magazine Coach voor gastbijdragen.,NOBCO coaching blog Nederland,WebSearch,D
3,nvp-hrnetwerk.nl,C8,5,0.835,HIGH (DR 60+),estimated,2026-03-09,https://www.nvp-hrnetwerk.nl/nl/nieuws-detail/2026/03/09/van-nice-to-have-naar-strategische-noodzaak-de-rol-van-medewerkersvrijwilligerswerk-in-hr,Van 'nice to have' naar strategische noodzaak: de rol van medewerkersvrijwilligerswerk in HR,HR,"HR-professionals aangesloten bij NVP beroepsvereniging, met focus op arbeidsrecht, beleid en strategisch HRM.","Toonaangevende HR-beroepsvereniging met blog en magazine; actieve content rond 2026 wetgeving, sterke autoriteit en directe HR-doelgroep.",PSA-wetgeving 2026 in praktijk: hoe HR-professionals zenuwstelsel-regulatie inzetten als preventieve maatregel.,pitch via redactie,niet gevonden,Beroepsvereniging HR-professionals met magazine en partnerschap Tijdschrift voor HRM.,NVP personeelsmanagement publicatie,WebSearch,E
4,tijdschriftvoorhrm.nl,C1|C4|C6|C15|C13,5,0.835,HIGH (DR 60+),estimated,2026-05-12,https://tijdschriftvoorhrm.nl/in-gesprek-met-lector-dr-joost-van-der-weide/,Talent-gerichte benadering met aandacht voor rust en ondersteuning,HR,"Wetenschappelijke HR-professionals, lectoren en HR-onderzoekers gericht op strategisch HRM en duurzaam werkgeverschap.",Wetenschappelijk HR-tijdschrift met open redactionele inzending; recente artikelen rond neuro-inclusie en rust — top match.,Neuro-inclusiviteit en zenuwstelsel-regulatie: hoe HR-wetenschap en praktijk samenkomen rond duurzaam werk.,pitch via redactie,niet gevonden,Wetenschappelijk HR-tijdschrift met peer-reviewed artikelen voor HR-professionals; accepteert ingezonden artikelen via redactie.,HR vakblad gastblog,WebSearch,E
5,arbo-online.nl,C2|C4|C6|C12,5,0.805,HIGH (DR 60+),estimated,2026,https://www.arbo-online.nl/33687/een-gezond-en-veilig-2026,Een gezond en veilig 2026!,arbo,"Arboprofessionals, preventiemedewerkers, HR en bedrijfsartsen bij Nederlandse werkgevers.",Topvakblad voor arbo/HR met sterke verzuim-/welzijnsfocus en regelmatige expertbijdragen; directe match voor zenuwstelsel-/burn-out content.,Zenuwstelsel-regulatie als wetenschappelijk onderbouwde preventiestrategie voor stress- en burn-outverzuim op de werkvloer.,pitch via redactie,niet gevonden,Grootste kennisplatform voor arboprofessionals met nieuws en best practices.,arbo vakblad gastartikel,WebSearch,D
6,chro.nl,C1|C6|C12,5,0.805,HIGH (DR 60+),estimated,2026,https://chro.nl/artikel/duurzame-inzetbaarheid-heeft-voor-hr-in-2026-de-hoogste-prioriteit/,Duurzame inzetbaarheid heeft voor HR in 2026 de hoogste prioriteit,HR,"CHRO's, HR-directeuren en bestuurders van grote Nederlandse organisaties.",Topplatform voor HR-strategie met duurzame inzetbaarheid als #1 prioriteit voor 2026; perfecte match voor expertstuk over zenuwstelsel en verzuimreductie.,Strategische CHRO-invalshoek: zenuwstelsel-regulatie als meetbare hefboom op duurzame inzetbaarheid en bottom-line verzuimkosten.,pitch via redactie,https://chro.nl/auteur/de-redactie/,Platform en magazine voor CHRO's en HR-directeuren; potentieel voor strategische bijdragen over verzuim en welzijn.,HR vakblad gastblog,WebSearch,D
7,hrpraktijk.nl,C1|C6|C15,5,0.805,HIGH (DR 60+),estimated,2026,https://www.hrpraktijk.nl/medewerker/duurzame-inzetbaarheid/trends-2026-aanpak-personeelstekort-verschuift-van-werven-naar-behouden/,Trends 2026: aanpak personeelstekort verschuift van werven naar behouden,HR,"HR-managers, HR-business partners en directieleden in Nederland die zich bezighouden met arbeidsvoorwaarden, verzuim en duurzame inzetbaarheid.","Een van de grootste NL HR-vakplatforms; publiceert structureel over verzuim, WIA, duurzame inzetbaarheid en HR-trends; ideale doelgroep voor zenuwstelsel-pitch aan HR-managers.",Van werven naar behouden in 2026: zenuwstelsel-regulatie als retentie- en verzuimreductie-strategie voor HR.,pitch via redactie,niet gevonden,Grote HR-community met 25.000+ leden; whitepapers en cases over arbo en verzuim staan op de site.,HR-platform gastartikel,WebSearch,C
8,mtsprout.nl,C4|C6|C7,5,0.805,HIGH (DR 60+),estimated,2026,https://mtsprout.nl/leiderschap/dit-zijn-4-goede-voornemens-die-je-in-2026-een-betere-leider-maken,Dit zijn 4 goede voornemens die je in 2026 een betere leider maken,HR,"Managers, scale-up oprichters, ondernemers en CEO's in Nederland; toonaangevend ondernemers/leiderschap-medium.",Top NL ondernemers- en leiderschapsmedium met actuele content over burn-out en vierdaagse werkweek — premium target voor expertbijdrage over zenuwstelselregulatie.,Wat de vierdaagse werkweek mist: zenuwstelselregulatie als echte burn-outpreventie voor leiders en hun teams.,pitch via redactie,niet gevonden,Toonaangevend ondernemersmedium met artikelen over leiderschap en vitaliteit.,vitaliteitsmanager blog,WebSearch,F
9,nfp.kngf.nl,C8,5,0.805,HIGH (DR 60+),estimated,2026,https://www.kngf.nl/nieuws/nfp-congres-2026/,NFP congres 2026 - Psychosomatiek in het spectrum,zorgprof,Psychosomatisch fysiotherapeuten en KNGF-leden; therapeuten die lichaamsgericht werken met stress/burn-out.,Beroepsvereniging psychosomatiek met directe inhoudelijke overlap (lichaamsgericht werken bij stress); thematische topkandidaat.,Polyvagaaltheorie in de spreekkamer: een praktische bridge tussen psychosomatische fysiotherapie en werkgevers-context.,pitch via redactie,https://nfp.kngf.nl/over-nfp,Beroepsverenging psychosomatisch fysiotherapeuten (NFP) - direct relevante doelgroep en kanaal.,beroepsvereniging psychosomatisch fysiotherapie,WebSearch,A
10,pwnet.nl,C1|C6|C15|C13,5,0.805,HIGH (DR 60+),estimated,2026,https://www.pwnet.nl/53171/2026-impact-ai-digitalisering-en-robotisering-hoog-op-hr-prioriteitenlijst,"2026: impact AI, digitalisering en robotisering hoog op HR-prioriteitenlijst",HR,"HR-professionals, HR-directie en HR-juristen in heel Nederland; nieuws, jurisprudentie en kennis.",Grootste HR-vakblad NL met verzuim/WIA-content en sterke autoriteit — topkandidaat voor gastauteurschap over burn-out/zenuwstelsel.,AI-druk versus mens: hoe HR in 2026 verzuim voorkomt door zenuwstelsel-regulatie als nieuwe HR-skill.,pitch via redactie,niet gevonden,Grootste HR-platform van Nederland (voorheen PW de Gids); kennis en nieuws voor HR-professionals.,HR vakblad gastblog,WebSearch,A
