domain,category,source_query,first_impression
aeno.nl,C9,gemeente werkgevers vitaliteit blog,A&O fonds Gemeenten met blog en kennisbank over vitaliteit en thuiswerken.
aofondsrijk.nl,C9,A&O fonds Rijk blog,A+O fonds Rijk met content over werkplezier en duurzame inzetbaarheid bij rijksoverheid.
arbeidsmarktplatformpo.nl,C15,Arbeidsmarktplatform PO leraar,Expertisecentrum arbeidsmarkt primair onderwijs met onderzoeken over werkbelasting leraren.
arboned.nl,C16|C15|C8,werkstress arbodienst,Grote arbodienst met uitgebreide kennisbank over werkstress en slaap.
asr.nl,C16,slaaptips werkgever,Verzekeraar a.s.r. met zakelijk blog over slaap en werknemerswelzijn.
awvn.nl,C1|C4|C9,duurzame inzetbaarheid werkgevers,Werkgeversvereniging AWVN met content over duurzame inzetbaarheid.
bentlie.nl,C9,SER blog werkgever Nederland,Adviesbureau met kennisartikelen over duurzame inzetbaarheid.
bewegennaargezondheid.nl,C11,psychosomatiek blog Nederland werk gezondheid,Psychosomatische fysiotherapiepraktijk met blog - vakgenoot mogelijk waardevol als peer.
blog.vebego.nl,C4,vitaliteit werkgever blog,Corporate blog van facilitair bedrijf met vitaliteitstips voor medewerkers.
bouwendnederland.nl,C15,bouw HR blog Nederland verzuim,Brancheorganisatie bouw met nieuwsartikelen over verzuimpreventie en werkstress.
buddee.nl,C1|C5|C13,HR-platform verzuim,HR-platform voor Nederlandse MKB met blog over verlof en verzuim.
caop.nl,C15,Arbeidsmarktplatform PO leraar,Kennisinstituut publieke sector met publicaties over arbeidsmarkt en werkdruk.
chro.nl,C1|C6|C12,HR vakblad gastblog,Platform en magazine voor CHRO's en HR-directeuren; potentieel voor strategische bijdragen over verzuim en welzijn.
coaching.nl,C11,coaching platform Nederland gastauteur artikel,Landelijk coachingsplatform met artikelarchief en online tools - ruimte voor gastinhoud.
compendiumgeneeskunde.nl,C3,bedrijfsgeneeskunde compendium,Naslagwerk over bedrijfsgeneeskunde voor medische professionals.
csrcentrum.nl,C16,burn-out bedrijfsarts blog,Specialistisch burn-outcentrum met inhoudelijke blog voor professionals.
defysiotherapeut.com,C16,psychosomatische fysiotherapie blog,Branche-platform fysio met blog over psychosomatische fysiotherapie.
denormaalstezaak.nl,C1,XpertHR partners,Werkgeversnetwerk voor inclusief werkgeverschap; mogelijk relevant voor verzuim-preventie.
draai.nu,C2,RCMS casemanagement,RSC-portaal met content voor specialistisch casemanagers.
duurzaaminzetbaarheidcentrum.nl,C4,duurzame inzetbaarheid vakblad,Themaplatform duurzame inzetbaarheid voor werkgevers.
eprom.nl,C15,FNV werkgever blog,Bedrijf met blog over werkdruk en burn-outklachten als pandemie.
ey.com,C4,mentaal welzijn werkgever,Adviesplatform met NL ondernemerscontent over mentaal welzijn (lage prioriteit).
fme.nl,C15,Metaalunie FME industrie werkgever,Werkgeversorganisatie technologische industrie met STERK Toolkit en HR-content.
gevoelszaken.nl,C11,mental coach blog NL stress werknemer,Coachingsblog rond gevoel en stress.
goingconcern.nl,C16,burn-out re-integratie blog,Re-integratiebureau met blog gericht op werkgevers en burn-outtrajecten.
habeoplus.nl,C13,master HRM blog Nederland onderzoek werk,Habeo+ (Avans-gerelateerd) blog met HRM-masterthema's.
hchealth.nl,C2|C14,verzuim burn-out impact,Specialist burn-out preventie met cijfers en impactartikelen voor werkgevers.
hightechsystems.nl,C15,Metaalunie FME industrie werkgever,Vakmedium high-tech industrie met artikelen over personeel en skills.
hrmorgen.nl,C1,HR community blog verzuim,HR-nieuws en opinieplatform met artikelen over burn-out en generatieproblematiek.
huisartsopleiding.nl,C15,SBOH huisarts bedrijfsarts,Huisartsopleiding Nederland met handreikingen over goed werkgeverschap.
industrievandaag.nl,C15,industrie HR vakblad NL,Onafhankelijk platform met overzicht industrievakbladen en HR-nieuws.
isbw.nl,C13,HR opleiding blog Nederland kennisplatform,ISBW HRM-opleider met blog over korte HRM-trainingen.
jobport.nl,C2,verzuim platform schrijven,Platform voor loopbaan/verzuim/re-integratie diagnose en matching.
kock.nl,C15,onderwijs HR blog NL,Adviesbureau met blogs over beleidsrijk HR-beleid voortgezet onderwijs.
leiderschapscoaching.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Specifiek platform rond leiderschapscoaching en veerkracht
lmi-nl.com,C6,leiderschap blog Nederland gastauteur,LMI Nederland blog over effectief leiderschap en teammotivatie
managementscope.nl,C6,management vakblad Nederland schrijf mee bijdrage,Vakblad voor managers directeuren en commissarissen
medischcontact.nl,C3|C12,bedrijfsgezondheidszorg artikel,Vakblad KNMG met blogs en opinies over bedrijfsgezondheidszorg en bedrijfsartsen.
metaalunie.nl,C15,Metaalunie FME industrie werkgever,Brancheorganisatie MKB-maakindustrie met content over goed werkgeverschap en HR.
mkb.nl,C5,"""MKB Servicedesk"" OR ""De Ondernemer"" gastauteur",MKB-Nederland brancheorganisatie met publicaties voor werkgevers
mtsprout.nl,C4|C6|C7,vitaliteitsmanager blog,Toonaangevend ondernemersmedium met artikelen over leiderschap en vitaliteit.
ned-personeel.nl,C15,industrie HR vakblad NL,Detacheerder maakindustrie met content over personeel.
nielsvansanten.nl,C16,polyvagaal Nederland blog,Therapeut/blogger over stress en polyvagaal theorie.
nn.nl,C16|C5|C7,stress werkgever blog,Verzekeraar Nationale-Nederlanden met zakelijk blog over stress en verzuim.
