domain,category,source_query,first_impression
2daysmood.com,C1,werkgeluk meten HR,Werkgeluk-meting blog met kennisartikelen voor HR-professionals.
allesoverhr.nl,C13,Tijdschrift voor HRM gastauteur artikel,Platform Alles over HR met expertcontent - HR-doelgroep.
arbeidsdeskundigen.nl,C2|C8,arbeidsdeskundige blog NVvA,NVvA - beroepsvereniging voor arbeidsdeskundigen met nieuws- en blogsectie.
arboned.nl,C16|C15|C8,werkstress arbodienst,Grote arbodienst met uitgebreide kennisbank over werkstress en slaap.
assistverzuim.nl,C16|C7,bedrijfsarts psychische klachten,Verzuimadviesbureau met blog over psychische klachten en verzuim.
bedrijfsartsworden.nl,C3,bedrijfsarts opleiding,Informatieplatform over bedrijfsartsenvak met content over het beroep.
besuitable.nl,C2|C16,casemanagement geregistreerd,Be Suitable platform met geregistreerde specialisten en content.
blog.conamore.com,C16,psychosomatiek samenwerking,Zorgblog met artikel over psychosomatische fysiotherapie in reguliere zorg.
bouwendnederland.nl,C15,bouw HR blog Nederland verzuim,Brancheorganisatie bouw met nieuwsartikelen over verzuimpreventie en werkstress.
budgetcoach.nl,C15,zorg HR blog Nederland,Budgetcoaching met blogs voor werkgevers in zorg over geldzorgen personeel.
care4careers.nl,C16,casemanager re-integratie,Re-integratiebureau met kenniscentrum over casemanagement.
coachcircle.nl,C11,coaching platform Nederland gastauteur artikel,Coachingsmarktplaats met blog-/contentmogelijkheid.
code24.nl,C14,OpenUp blog,Tech-bureau dat case-stories deelt over mentale veerkracht met OpenUp.
csrcentrum.nl,C16,burn-out bedrijfsarts blog,Specialistisch burn-outcentrum met inhoudelijke blog voor professionals.
dehora.nl,C16,nachtwerk werkgever blog,Consultancy roosters/werktijden met blog over nachtwerk en gezondheid.
depsycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Psychologenplatform met artikelen rol werkgever bij burn-out.
dsw.nl,C7,zorgverzekeraar werkgever content,Zorgverzekeraar uit Schiedam met artikelen voor consumenten en werkgevers.
empowr.nl,C2,burn-out werkstress verzuim,Platform voor stress- en burn-outpreventie met manager-content.
ey.com,C4,mentaal welzijn werkgever,Adviesplatform met NL ondernemerscontent over mentaal welzijn (lage prioriteit).
fmtgezondheidszorg.nl,C12,zorgmagazine vakblad B2B Nederland,Crossmediaal kennisplatform technologie en huisvesting in zorg B2B.
gezondinbedrijf.com,C7,Zilveren Kruis werkgevers blog,Business school voor verzuim & vitaliteit met blog gericht op HR en leidinggevenden.
greatplacetowork.nl,C4|C6,burn-out blog werkgever,Werkgeverscertificering met inspiratieblog over werkstress en burn-out.
hays.nl,C4,corporate wellbeing blog,Recruiter met wellbeing-content gericht op werkgevers.
hightechsystems.nl,C15,Metaalunie FME industrie werkgever,Vakmedium high-tech industrie met artikelen over personeel en skills.
hrmspot.nl,C10,HR-software vendor blog Nederland werkgever,Reviewplatform met inhoudelijke artikelen over HR-softwareleveranciers
icthealth.nl,C12,ICT Health Nederland artikel insturen,Vakblad zorginnovatie met laagdrempelig contact voor gastartikelen via redactie.
interpolis.nl,C5,Nederlandse ondernemers magazine personeel verzuim,Verzekeraar met magazine Welbevinden over personeel behouden
jijbouweninfra.nl,C15,Goedopgeleidpersoneel bouw infra,Platform vakkrachten bouw & infra voor bedrijven.
kock.nl,C15,onderwijs HR blog NL,Adviesbureau met blogs over beleidsrijk HR-beleid voortgezet onderwijs.
leidinggeven.com,C6,leidinggeven blog Nederland artikel,Specialistenplatform over leidinggeven met praktische tips
loyalis.nl,C7,inkomensverzekeraar blog werkgever,Specialist inkomensverzekering met content voor werkgevers in zorg/bouw/onderwijs/overheid.
managementsupport.nl,C6,management vakblad Nederland schrijf mee bijdrage,Vakblad voor management-support en secretariaat-professionals
menzis.nl,C7,Menzis werkgever vitaliteit blog,Menzis Zakelijk publiceert blogs over leefkracht en vitaliteit voor werkgevers.
mkb.nl,C5,"""MKB Servicedesk"" OR ""De Ondernemer"" gastauteur",MKB-Nederland brancheorganisatie met publicaties voor werkgevers
mybusinessmedia.nl,C15,industrie HR vakblad NL,Uitgever van industriebladen en HR-titels.
nfp.kngf.nl,C8,beroepsvereniging psychosomatisch fysiotherapie,Beroepsverenging psychosomatisch fysiotherapeuten (NFP) - direct relevante doelgroep en kanaal.
nlzorgnieuws.nl,C12,Nationale Zorggids artikel insturen,Nieuwsportal over zorg NL - mogelijk kanaal voor branchecontent.
nspoh.nl,C3,bedrijfsarts NSPOH,Opleidingsinstituut bedrijfsartsen met kennisartikelen.
nvz-ziekenhuizen.nl,C15,zorg HR blog Nederland,Vereniging Nederlandse Ziekenhuizen met opinieartikelen over HR-beleid in zorg.
onderwijscommunity.nl,C15,CNV Onderwijs HR blog,Community-site onderwijs met artikelen over burn-out en strategisch HR in onderwijs.
oprijk.nl,C4,vitaliteit werkgever blog,Bedrijfszorg-platform met content over vitaliteit en mentale gezondheid.
personalfitnessnederland.nl,C4,vitaliteitsmanager blog,Personal training netwerk met vitaliteitsblog gericht op werkgevers/coaches.
phocus.nl,C15,zorg HR blog Nederland,HR-adviesbureau met sectorpagina en blogs over HR in de zorg.
profielen.hr.nl,C13,Hogeschool Rotterdam HRM blog,Onafhankelijk nieuws Hogeschool Rotterdam met blogsectie.
pwnet.nl,C1|C6|C15|C13,HR vakblad gastblog,Grootste HR-platform van Nederland (voorheen PW de Gids); kennis en nieuws voor HR-professionals.
register-rsc.nl,C2|C8,RCMS register casemanagement,Register Specialistisch Casemanagement; centrale autoriteit voor casemanagers met PE-content.
rondomwerk.nl,C2,arbodienst Nederland,Maatwerk arbodienst met informatieve content.
scabadvies.nl,C15,Goedopgeleidpersoneel bouw infra,HR/arbo-adviesbureau gespecialiseerd in bouw & infra.
skipr.nl,C1|C4|C12,Skipr werk HR zorg,Zorgmanagement platform met HR/personeelsinzet blogs; raakt bedrijfsgezondheidszorg in zorg.
sociaalwerk-werkt.nl,C4,vitaliteit werkgever blog,Branche-platform sociaal werk met werkgeverstips rond vitaliteit.
stressvrijvoordeklas.nl,C15,CNV Onderwijs HR blog,Coachingblog voor leerkrachten met burn-out en stress.
therapoint.nl,C11,coach federatie Nederland blog,Coach- en therapeutenplatform met blog over coachvak en tarieven.
tracksoftware.nl,C2,verzuim software arbodienst,Track verzuimsysteem met content voor arbodiensten en regiebedrijven.
ttifenarbo.nl,C2,arbodienst werkgever,Arbodienst met blog over wat een arbodienst doet voor werkgevers.
veldhuisadvies.nl,C4|C5,vitaliteit werkgever blog,Adviesblog met focus op vitaliteit en duurzame inzetbaarheid voor werkgevers.
verzuimdynamiek.nl,C4,preventie werknemer blog,Verzuimspecialist met blog over preventie en time-out programma's.
vitalmindz.nl,C14,mental health benefit platform NL,Mental health app met content gericht op werkgevers en HR.
werkbaarwerk.be,C15,FNV werkgever blog,Belgisch platform met tools en voorbeelden over werkdruk (BE/NL).
wgvzorgenwelzijn.nl,C15,SectorplanPlus zorg welzijn,Werkgeversvereniging zorg & welzijn Oost-Nederland met nieuwsartikelen.
wspgv.nl,C9,WSP werkgeversservicepunt artikel,WSP Groot-Voorne met content over inclusief werkgeverschap.
yoobi.nl,C10,"""Tellow"" OR ""Exact"" OR ""Yoobi"" ondernemers blog HR personeel",Software voor uren verlof en HR met blog voor managers en HR
zilverenkruis.nl,C1|C7,duurzame inzetbaarheid wetenschap,Zorgverzekeraar met zakelijke blog over wetenschap achter inzetbaarheid en KOBA-DI.
zorgkrant.nl,C7,vernet verzuim benchmark zorg,Vakmedium zorg met nieuwsartikelen over verzuim en cao.
zorgwijzer.nl,C7,zorgverzekeraar werkgever content,Vergelijkingssite met content over zorgverzekeraars in Nederland.
