domain,category,source_query,first_impression,filter1_live_nl,filter2_recent_content,filter3_doelgroep_match,overall_pass,reason_if_failed,fetched_at
aenowaterschappen.nl,C9,A&O fonds Waterschappen blog,A&O fonds Waterschappen met blogs over vitale en wendbare organisaties.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
aovergelijken.nl,C7,inkomensverzekeraar blog werkgever,Blogplatform over arbeidsongeschiktheidsverzekeringen.,PASS,UNCLEAR,UNCLEAR,FAIL,geen duidelijke 2025-blog gevonden; AOV vergelijker mogelijk vooral B2C zzp,2026-05-23T12:37:46Z
arbeidspsychologenmiddennederland.nl,C16,polyvagaal blog werkgever,Arbeidspsychologen met blog over polyvagaal theorie in werkcontext.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
arboportaal.nl,C2|C12,arbo vakblad gastartikel,Officieel arbo-kennisportal van Rijksoverheid met magazines en externe bronnen.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
assistverzuim.nl,C16|C7,bedrijfsarts psychische klachten,Verzuimadviesbureau met blog over psychische klachten en verzuim.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
banninkcoaching.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingspraktijk-blog over rust en richting in leiderschap,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
berenschot.nl,C1,duurzame inzetbaarheid artikel,Adviesbureau met inhoudelijke artikelen over duurzame inzetbaarheid en HR.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
bewegingveroorzakers.nl,C6,leidinggeven blog Nederland artikel,Adviespraktijk met blog over leiderschapstheorie en praktijk,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
bluevi.com,C10,verzuimsoftware blog Nederland werkgever,BlueVi blog over verzuimsoftware-keuzes voor werkgevers,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
bouwenuitvoering.nl,C15,Goedopgeleidpersoneel bouw infra,Vakblad bouw infra techniek met artikelen over branche en personeel.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
budgetcoach.nl,C15,zorg HR blog Nederland,Budgetcoaching met blogs voor werkgevers in zorg over geldzorgen personeel.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
care2care.nl,C15,SectorplanPlus zorg welzijn,Adviesbureau zorgsector met artikelen over subsidies en personeelsbehoud.,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:37:46Z
circulairemaakindustrie.nl,C15,Metaalunie FME industrie werkgever,Platform circulaire maakindustrie met ondernemerscontent.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:37:46Z
coachingfederation.nl,C8,coach federatie Nederland blog,ICF Netherlands chapter met blog over coachingvakgebied en professionele standaarden.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
compucase.nl,C2,verzuim software,Verzuim software-leverancier met B2B content.,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:37:46Z
cz.nl,C7,CZ zakelijk werkgever artikel,Zakelijk portaal van zorgverzekeraar CZ met uitgebreide verzuim- en inzetbaarheidscontent.,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:37:46Z
dehora.nl,C16,nachtwerk werkgever blog,Consultancy roosters/werktijden met blog over nachtwerk en gezondheid.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
deondernemer.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Vakmedia-platform voor ondernemers met categorie Personeel en podcasts,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:37:46Z
driessen.nl,C7,CNV vakbond werkgever artikel,HR-dienstverlener met kenniscentrum voor goed werkgeverschap.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
duurzameinzetbaarheid.nl,C2,duurzame inzetbaarheid platform,Kennisportal duurzame inzetbaarheid met praktijkvoorbeelden en interventies.,FAIL,FAIL,FAIL,FAIL,domein gekaapt/herbestemd voor online casino-content geen DI meer,2026-05-23T12:37:46Z
ergonomiewebshop.nl,C16,ergonomisch werken,Ergonomie-webshop met blog over gezond werken.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:37:46Z
falkeverbaan.nl,C10,Yezzer Otherside Falke Verbaan verzuim blog Nederland,Toonaangevend bureau over gedragsmatige aanpak van verzuim met onderzoek-blog,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
fmtgezondheidszorg.nl,C12,zorgmagazine vakblad B2B Nederland,Crossmediaal kennisplatform technologie en huisvesting in zorg B2B.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
gezondeboel.nl,C14,mental health benefit platform NL,Online welzijnsplatform met B2B aanbod voor werkgevers.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
gortcoaching.nl,C11,mental coach blog NL stress werknemer,Mental coachingsbureau met praktische werknemerstress-content.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
han.nl,C13,HAN HRM lectoraat blog publicatie,HAN lectoraat HRM en lectoraat Arbeid & Gezondheid - directe inhoudelijke match.,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:37:46Z
health.nl,C12,Zorg en Welzijn vakblad publicatie auteur,Verzamelportal vakbladen zorg.,PASS,UNCLEAR,FAIL,FAIL,lifestyle/consumentenportal (fietsen golf) geen B2B-zorgvakblad,2026-05-23T12:37:46Z
hogeschoolrotterdam.nl,C13,Hogeschool Rotterdam HRM blog,Hogeschool Rotterdam met HRM-opleiding en nieuwskanalen.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:46Z
