domain,category,source_query,first_impression
2daysmood.com,C1,werkgeluk meten HR,Werkgeluk-meting blog met kennisartikelen voor HR-professionals.
academysuite.nl,C15,SectorplanPlus zorg welzijn,Opleidingsplatform met blogs over behoud zorgmedewerkers.
acp.nl,C7,inkomensverzekeraar blog werkgever,Politievakbond ACP-CNV met artikelen over arbeidsongeschiktheid en welzijn.
aeno.nl,C9,gemeente werkgevers vitaliteit blog,A&O fonds Gemeenten met blog en kennisbank over vitaliteit en thuiswerken.
aenowaterschappen.nl,C9,A&O fonds Waterschappen blog,A&O fonds Waterschappen met blogs over vitale en wendbare organisaties.
afas.nl,C1|C10,duurzame inzetbaarheid kennisbank,AFAS blog/kennisbank met HR en duurzame inzetbaarheid content.
allesoverhr.nl,C13,Tijdschrift voor HRM gastauteur artikel,Platform Alles over HR met expertcontent - HR-doelgroep.
amersfoortse.nl,C16,slaaptips werkgever blog,Verzekeraar De Amersfoortse met werkgeversblog over slaap en mindful werken.
aofondsrijk.nl,C9,A&O fonds Rijk blog,A+O fonds Rijk met content over werkplezier en duurzame inzetbaarheid bij rijksoverheid.
aovergelijken.nl,C7,inkomensverzekeraar blog werkgever,Blogplatform over arbeidsongeschiktheidsverzekeringen.
appwiki.nl,C2|C10,verzuim software vergelijken,Vergelijkingsplatform voor HR/verzuim software met redactionele content.
arbeidsbrein.nl,C16,mindfulness werkgever,Trainingsbureau mindfulness in bedrijf met blogcontent voor werkgevers.
arbeidsdeskundigen.nl,C2|C8,arbeidsdeskundige blog NVvA,NVvA - beroepsvereniging voor arbeidsdeskundigen met nieuws- en blogsectie.
arbeidsmarktplatformpo.nl,C15,Arbeidsmarktplatform PO leraar,Expertisecentrum arbeidsmarkt primair onderwijs met onderzoeken over werkbelasting leraren.
arbeidspsychologenmiddennederland.nl,C16,polyvagaal blog werkgever,Arbeidspsychologen met blog over polyvagaal theorie in werkcontext.
arbo-online.nl,C2|C4|C6|C12,arbo vakblad gastartikel,Grootste kennisplatform voor arboprofessionals met nieuws en best practices.
arboconcern.nl,C2|C16|C9,burnout verzuim arbo,Arbodienst-blog met inhoudelijke verzuim-gerelateerde artikelen.
arboindepraktijk.nl,C2,arbo vakblad gastartikel,Onderdeel van Arbo Professionals abonnement met praktische arbocontent.
arboned.nl,C16|C15|C8,werkstress arbodienst,Grote arbodienst met uitgebreide kennisbank over werkstress en slaap.
arboportaal.nl,C2|C12,arbo vakblad gastartikel,Officieel arbo-kennisportal van Rijksoverheid met magazines en externe bronnen.
arboteam.nl,C16,mindful werken blog,Arbo-aanbieder met blog over mindful werken en werkstress.
arbounie.nl,C16|C8,arbo werkstress,Arbodienst met grote kennisbank voor werknemers en werkgevers.
archipelacademy.com,C4,vitaliteitsmanager blog,Leerplatform met blogartikelen over vitaliteitsmanagement.
asr.nl,C16,slaaptips werkgever,Verzekeraar a.s.r. met zakelijk blog over slaap en werknemerswelzijn.
assistverzuim.nl,C16|C7,bedrijfsarts psychische klachten,Verzuimadviesbureau met blog over psychische klachten en verzuim.
atarbo.nl,C4,vitaliteit op werkvloer,Arbodienst @arbo met preventieblog over vitaliteit.
avans.nl,C13,Avans HR blog opleiding HRM,Avans Hogeschool met HRM-opleiding - mogelijk kanaal via lectoraten/blogs.
avansplus.nl,C13,Avans HR blog opleiding HRM,Avans+ post-bachelor HRM-blog met praktijkartikelen over HR-vakgebied.
awvn.nl,C1|C4|C9,duurzame inzetbaarheid werkgevers,Werkgeversvereniging AWVN met content over duurzame inzetbaarheid.
banninkcoaching.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingspraktijk-blog over rust en richting in leiderschap
bedrijfsartsworden.nl,C3,bedrijfsarts opleiding,Informatieplatform over bedrijfsartsenvak met content over het beroep.
bedrijfsfitnessnederland.nl,C2|C4,burn-out preventie cijfers,Kennisbank met artikelen over burn-outpreventie en employee benefits.
bedrijvenconsultant.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Consultancy-blog met overzichten en gastblog-traditie
bentlie.nl,C9,SER blog werkgever Nederland,Adviesbureau met kennisartikelen over duurzame inzetbaarheid.
berenschot.nl,C1,duurzame inzetbaarheid artikel,Adviesbureau met inhoudelijke artikelen over duurzame inzetbaarheid en HR.
bestuursacademie.nl,C6,leidinggeven blog Nederland artikel,Bestuursacademie blog met content voor (startende) leidinggevenden
besuitable.nl,C2|C16,casemanagement geregistreerd,Be Suitable platform met geregistreerde specialisten en content.
betuwsverzuimadvies.nl,C2,RCMS register casemanagement,Verzuimadviseur blog met informatie over casemanagement register.
bewegennaargezondheid.nl,C11,psychosomatiek blog Nederland werk gezondheid,Psychosomatische fysiotherapiepraktijk met blog - vakgenoot mogelijk waardevol als peer.
bewegingveroorzakers.nl,C6,leidinggeven blog Nederland artikel,Adviespraktijk met blog over leiderschapstheorie en praktijk
bgmagazine.nl,C3|C4,bedrijfsarts HR magazine,BG Magazine - Next level HR met re-integratie en bedrijfsgeneeskunde content.
binnenlandsbestuur.nl,C7,inkomensverzekeraar blog werkgever,Vakmedium voor overheid met partnercontent over inkomenszekerheid en HR.
blog.conamore.com,C16,psychosomatiek samenwerking,Zorgblog met artikel over psychosomatische fysiotherapie in reguliere zorg.
blog.vebego.nl,C4,vitaliteit werkgever blog,Corporate blog van facilitair bedrijf met vitaliteitstips voor medewerkers.
