domain,category,source_query,first_impression
acp.nl,C7,inkomensverzekeraar blog werkgever,Politievakbond ACP-CNV met artikelen over arbeidsongeschiktheid en welzijn.
amersfoortse.nl,C16,slaaptips werkgever blog,Verzekeraar De Amersfoortse met werkgeversblog over slaap en mindful werken.
arbeidsdeskundigen.nl,C2|C8,arbeidsdeskundige blog NVvA,NVvA - beroepsvereniging voor arbeidsdeskundigen met nieuws- en blogsectie.
arboindepraktijk.nl,C2,arbo vakblad gastartikel,Onderdeel van Arbo Professionals abonnement met praktische arbocontent.
archipelacademy.com,C4,vitaliteitsmanager blog,Leerplatform met blogartikelen over vitaliteitsmanagement.
avansplus.nl,C13,Avans HR blog opleiding HRM,Avans+ post-bachelor HRM-blog met praktijkartikelen over HR-vakgebied.
bedrijvenconsultant.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Consultancy-blog met overzichten en gastblog-traditie
betuwsverzuimadvies.nl,C2,RCMS register casemanagement,Verzuimadviseur blog met informatie over casemanagement register.
blog.conamore.com,C16,psychosomatiek samenwerking,Zorgblog met artikel over psychosomatische fysiotherapie in reguliere zorg.
bouwenaandezorg.eu,C12,zorgmagazine vakblad B2B Nederland,Vakblad bouw en huisvesting zorg - minder direct relevant maar B2B-zorgkanaal.
brn-out.com,C16,burn-out verzuim kosten,Burn-out begeleidingsbureau met blog over verzuimkosten.
caogemeenten.nl,C9,gemeente werkgevers vitaliteit blog,Centrale site cao-Gemeenten met richtlijnen over vitaliteitsbeleid.
champ.nl,C4,corporate wellbeing blog,Netwerkplatform voor zakelijk sporten en corporate wellbeing in NL.
coachfinder.nl,C11,coach federatie Nederland blog,Coachzoekplatform met informatieartikelen over beroepsverenigingen.
code24.nl,C14,OpenUp blog,Tech-bureau dat case-stories deelt over mentale veerkracht met OpenUp.
cs-opleidingen.nl,C2,RCMS casemanagement,Opleider voor casemanagement met blog/actueel-sectie en studentbijdragen.
defittemedewerker.nl,C4|C7,vitaliteit werkgever blog,Blog van vitaliteitsdienstverlener gericht op werkgevers en wellness programma's.
denkproducties.nl,C6,"""BNR"" OR ""Quote"" OR ""Forbes Nederland"" ondernemers business leiderschap",Eventorganisator met blog over werkgeluk leiderschap en MT-thema's
dotweb.com,C10,verzuimsoftware blog Nederland werkgever,Dotweb blog over inrichting van verzuimsoftware
dutchhealthhub.nl,C15,zorg HR blog Nederland,Online medium zorg-management met artikel over Zorg & HR.
empowr.nl,C2,burn-out werkstress verzuim,Platform voor stress- en burn-outpreventie met manager-content.
expertiseorgaan.nl,C2,arbeidsdeskundig onderzoek,Praktijkblog over arbeidsdeskundig onderzoek; B2B doelgroep.
