domain,category,source_query,first_impression
tijdschriftvoorhrm.nl,C1,HR vakblad gastblog,Wetenschappelijk HR-tijdschrift met peer-reviewed artikelen voor HR-professionals; accepteert ingezonden artikelen via redactie.
chro.nl,C1,HR vakblad gastblog,Platform en magazine voor CHRO's en HR-directeuren; potentieel voor strategische bijdragen over verzuim en welzijn.
pwnet.nl,C1,HR vakblad gastblog,Grootste HR-platform van Nederland (voorheen PW de Gids); kennis en nieuws voor HR-professionals.
hrpraktijk.nl,C1,HR-platform gastartikel,Grote HR-community met 25.000+ leden; whitepapers en cases over arbo en verzuim staan op de site.
hrmorgen.nl,C1,HR community blog verzuim,HR-nieuws en opinieplatform met artikelen over burn-out en generatieproblematiek.
hrnavigator.nl,C2,HR community blog verzuim,Praktisch HR-blog over verzuim met aandacht voor roze verzuim en burn-out signalering.
hrcommunity.nl,C1,HR vakblad gastblog,UITGESLOTEN reeds benaderd - skip
hr-communicatie.nl,C1,HR Zone Nederland werkgeluk,UITGESLOTEN reeds benaderd - skip
flexmarkt.nl,C1,HR vakblad gastblog,UITGESLOTEN reeds benaderd - skip
zorgvoorwerkgeluk.nl,C1,HR Zone werkgeluk,HRM-kennisplatform voor zorgsector met focus op werkgeluk en welzijn; relevant voor HR in zorg.
driessengroep.nl,C1,HR Zone werkgeluk,Beheert meerdere kennisplatforms (Trends in HR / werk&geluk) gericht op HR-inspiratie.
ministerievaninzetbaarheid.nl,C1,HR werkgeluk tools,Blog/platform over werkgeluk-onderzoek en HR-tools voor inzetbaarheid.
trainjegelukscompetenties.nl,C1,HR werkgeluk,Werkgeluk-content voor HR managers; klein platform met gericht thema.
2daysmood.com,C1,werkgeluk meten HR,Werkgeluk-meting blog met kennisartikelen voor HR-professionals.
xperthr.nl,C1,XpertHR kennisplatform,Online HR-kennisplatform met juridische updates en HR-publicaties; eigen persberichtensectie.
xperthractueel.nl,C1,XpertHR kennisplatform,Actueel deel van XpertHR met nieuws en specialistische HR-content.
denormaalstezaak.nl,C1,XpertHR partners,Werkgeversnetwerk voor inclusief werkgeverschap; mogelijk relevant voor verzuim-preventie.
hr24.nl,C1,expertbijdrage HR,Regionaal HR-netwerk Noord-Nederland met trainingen en kennisdeling.
imkopleidingen.nl,C1,expertbijdrage HR,HR-opleider met artikelen en podcasts; kennisruimte voor HR-expertise.
zakenwijzer.nl,C2,arbodienst blog werkgever,Brede zakelijke blog met categorie arbodienst voor werkgevers.
arbo-online.nl,C2,arbo vakblad gastartikel,Grootste kennisplatform voor arboprofessionals met nieuws en best practices.
arboportaal.nl,C2,arbo vakblad gastartikel,Officieel arbo-kennisportal van Rijksoverheid met magazines en externe bronnen.
arboindepraktijk.nl,C2,arbo vakblad gastartikel,Onderdeel van Arbo Professionals abonnement met praktische arbocontent.
werkenveiligheid.nl,C2,vitaliteit werk preventie,Kennisplatform over preventie RI&E en sociale veiligheid; vitaliteitsbeleid en duurzame inzetbaarheid.
vakbladijs.nl,C2,re-integratie vakblad NL,Vakblad inkomenszekerheid met nieuws over re-integratie en loondoorbetaling.
ruudmeulenberg.nl,C2,HR community verzuim burn-out,Adviseursblog gericht op HR voor langdurig verzuim en burn-out reductie.
hchealth.nl,C2,verzuim burn-out impact,Specialist burn-out preventie met cijfers en impactartikelen voor werkgevers.
leiderschapeninzetbaarheid.nl,C2,HR community verzuim,Blog over leiderschap en verzuim/burn-out begeleiding door werkgevers.
arboconcern.nl,C2,burnout verzuim arbo,Arbodienst-blog met inhoudelijke verzuim-gerelateerde artikelen.
liberi.nl,C2,burn-out HR coaching,Coachingplatform met burn-out en bedrijfsgezondheid artikelen voor HR.
empowr.nl,C2,burn-out werkstress verzuim,Platform voor stress- en burn-outpreventie met manager-content.
bedrijfsfitnessnederland.nl,C2,burn-out preventie cijfers,Kennisbank met artikelen over burn-outpreventie en employee benefits.
mettom.nl,C2,arbodienst werkgever blog,Arbodienst-blog over verplichtingen voor werkgevers.
ttifenarbo.nl,C2,arbodienst werkgever,Arbodienst met blog over wat een arbodienst doet voor werkgevers.
rondomwerk.nl,C2,arbodienst Nederland,Maatwerk arbodienst met informatieve content.
mkbdirect.nl,C2,arbodienst MKB,MKB-nieuwsplatform met arbodienst-content voor kleinere werkgevers.
vitaalarbo.nl,C2,arbeidsdeskundige blog,Arbodienst met blog over arbeidsdeskundig onderzoek.
matchvermogen.nl,C2,arbeidsdeskundige blog,Arbeidsdeskundig blog over duurzame inzetbaarheid en sociale zekerheid.
gvmwerkt.nl,C2,arbeidsdeskundige blog,Arbeidsdeskundigen-blog met focus op balans tussen werk en herstel.
leanz.nl,C2,arbeidsdeskundige UWV,Blog over arbeidsdeskundigen en re-integratie processen.
expertiseorgaan.nl,C2,arbeidsdeskundig onderzoek,Praktijkblog over arbeidsdeskundig onderzoek; B2B doelgroep.
arbeidsdeskundigen.nl,C2,arbeidsdeskundige blog NVvA,NVvA - beroepsvereniging voor arbeidsdeskundigen met nieuws- en blogsectie.
cs-opleidingen.nl,C2,RCMS casemanagement,Opleider voor casemanagement met blog/actueel-sectie en studentbijdragen.
register-rsc.nl,C2,RCMS register casemanagement,Register Specialistisch Casemanagement; centrale autoriteit voor casemanagers met PE-content.
draai.nu,C2,RCMS casemanagement,RSC-portaal met content voor specialistisch casemanagers.
betuwsverzuimadvies.nl,C2,RCMS register casemanagement,Verzuimadviseur blog met informatie over casemanagement register.
rochewood.nl,C2,casemanager opleiding,Kennisartikelen over opleidingen voor casemanagers en regiebehoeften.
uitgedokterd.nl,C2,register casemanager,Kennisbank over (register)casemanagers en re-integratie.
besuitable.nl,C2,casemanagement geregistreerd,Be Suitable platform met geregistreerde specialisten en content.
jobport.nl,C2,verzuim platform schrijven,Platform voor loopbaan/verzuim/re-integratie diagnose en matching.
tracksoftware.nl,C2,verzuim software arbodienst,Track verzuimsysteem met content voor arbodiensten en regiebedrijven.
verzuimapplicatie.nl,C2,verzuim platform,Verzuimsoftware-aanbieder met informatieve content.
compucase.nl,C2,verzuim software,Verzuim software-leverancier met B2B content.
hoorayhr.io,C1,verzuim platform HR,All-in-one HR software voor MKB met verzuim/verlof content en blog.
buddee.nl,C1,HR-platform verzuim,HR-platform voor Nederlandse MKB met blog over verlof en verzuim.
toolshero.nl,C1,HR systemen casemanagement,Managementmodellen-platform met content over HR en casemanagement.
appwiki.nl,C2,verzuim software vergelijken,Vergelijkingsplatform voor HR/verzuim software met redactionele content.
nvab-online.nl,C3,NVAB publicatie,Beroepsvereniging bedrijfsartsen NVAB; richtlijnen en actueel-sectie.
tbv-online.nl,C3,Tijdschrift Bedrijfs- en Verzekeringsgeneeskunde,Tijdschrift voor Bedrijfs- en Verzekeringsgeneeskunde; accepteert manuscripts via redactie.
nvvg.nl,C3,bedrijfsgeneeskunde vakblad,Nederlandse Vereniging voor Verzekeringsgeneeskunde; mede-uitgever TBV.
medischcontact.nl,C3,bedrijfsgezondheidszorg artikel,Vakblad KNMG met blogs en opinies over bedrijfsgezondheidszorg en bedrijfsartsen.
ntvg.nl,C3,bedrijfsgeneeskunde NTVG,Nederlands Tijdschrift voor Geneeskunde met artikelen over bedrijfsgeneeskunde.
knmg.nl,C3,bedrijfsgeneeskunde KNMG,Koepel Nederlandse artsenorganisaties; nieuws en standpunten over bedrijfsartsen.
nspoh.nl,C3,bedrijfsarts NSPOH,Opleidingsinstituut bedrijfsartsen met kennisartikelen.
bedrijfsartsworden.nl,C3,bedrijfsarts opleiding,Informatieplatform over bedrijfsartsenvak met content over het beroep.
bgmagazine.nl,C3,bedrijfsarts HR magazine,BG Magazine - Next level HR met re-integratie en bedrijfsgeneeskunde content.
compendiumgeneeskunde.nl,C3,bedrijfsgeneeskunde compendium,Naslagwerk over bedrijfsgeneeskunde voor medische professionals.
oval.nl,C3,OVAL arbodienst,Brancheorganisatie arbodiensten met nieuws en checklists; thematische dossiers vitaliteit.
mkbasics.nl,C3,bedrijfsgezondheidszorg MKB,Arbodienst voor MKB met nieuws en eventsectie over bedrijfsgezondheidszorg.
zorgmasters.nl,C3,bedrijfsgezondheidszorg platform,Platform Zorgmasters met kennisartikelen over bedrijfsgezondheidszorg.
skipr.nl,C1,Skipr werk HR zorg,Zorgmanagement platform met HR/personeelsinzet blogs; raakt bedrijfsgezondheidszorg in zorg.
