domain,category,source_query,first_impression
aenowaterschappen.nl,C9,A&O fonds Waterschappen blog,A&O fonds Waterschappen met blogs over vitale en wendbare organisaties.
aovergelijken.nl,C7,inkomensverzekeraar blog werkgever,Blogplatform over arbeidsongeschiktheidsverzekeringen.
arbeidspsychologenmiddennederland.nl,C16,polyvagaal blog werkgever,Arbeidspsychologen met blog over polyvagaal theorie in werkcontext.
arboportaal.nl,C2|C12,arbo vakblad gastartikel,Officieel arbo-kennisportal van Rijksoverheid met magazines en externe bronnen.
assistverzuim.nl,C16|C7,bedrijfsarts psychische klachten,Verzuimadviesbureau met blog over psychische klachten en verzuim.
banninkcoaching.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingspraktijk-blog over rust en richting in leiderschap
berenschot.nl,C1,duurzame inzetbaarheid artikel,Adviesbureau met inhoudelijke artikelen over duurzame inzetbaarheid en HR.
bewegingveroorzakers.nl,C6,leidinggeven blog Nederland artikel,Adviespraktijk met blog over leiderschapstheorie en praktijk
bluevi.com,C10,verzuimsoftware blog Nederland werkgever,BlueVi blog over verzuimsoftware-keuzes voor werkgevers
bouwenuitvoering.nl,C15,Goedopgeleidpersoneel bouw infra,Vakblad bouw infra techniek met artikelen over branche en personeel.
budgetcoach.nl,C15,zorg HR blog Nederland,Budgetcoaching met blogs voor werkgevers in zorg over geldzorgen personeel.
care2care.nl,C15,SectorplanPlus zorg welzijn,Adviesbureau zorgsector met artikelen over subsidies en personeelsbehoud.
circulairemaakindustrie.nl,C15,Metaalunie FME industrie werkgever,Platform circulaire maakindustrie met ondernemerscontent.
coachingfederation.nl,C8,coach federatie Nederland blog,ICF Netherlands chapter met blog over coachingvakgebied en professionele standaarden.
compucase.nl,C2,verzuim software,Verzuim software-leverancier met B2B content.
cz.nl,C7,CZ zakelijk werkgever artikel,Zakelijk portaal van zorgverzekeraar CZ met uitgebreide verzuim- en inzetbaarheidscontent.
dehora.nl,C16,nachtwerk werkgever blog,Consultancy roosters/werktijden met blog over nachtwerk en gezondheid.
deondernemer.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Vakmedia-platform voor ondernemers met categorie Personeel en podcasts
driessen.nl,C7,CNV vakbond werkgever artikel,HR-dienstverlener met kenniscentrum voor goed werkgeverschap.
duurzameinzetbaarheid.nl,C2,duurzame inzetbaarheid platform,Kennisportal duurzame inzetbaarheid met praktijkvoorbeelden en interventies.
ergonomiewebshop.nl,C16,ergonomisch werken,Ergonomie-webshop met blog over gezond werken.
falkeverbaan.nl,C10,Yezzer Otherside Falke Verbaan verzuim blog Nederland,Toonaangevend bureau over gedragsmatige aanpak van verzuim met onderzoek-blog
fmtgezondheidszorg.nl,C12,zorgmagazine vakblad B2B Nederland,Crossmediaal kennisplatform technologie en huisvesting in zorg B2B.
gezondeboel.nl,C14,mental health benefit platform NL,Online welzijnsplatform met B2B aanbod voor werkgevers.
gortcoaching.nl,C11,mental coach blog NL stress werknemer,Mental coachingsbureau met praktische werknemerstress-content.
han.nl,C13,HAN HRM lectoraat blog publicatie,HAN lectoraat HRM en lectoraat Arbeid & Gezondheid - directe inhoudelijke match.
health.nl,C12,Zorg en Welzijn vakblad publicatie auteur,Verzamelportal vakbladen zorg.
hogeschoolrotterdam.nl,C13,Hogeschool Rotterdam HRM blog,Hogeschool Rotterdam met HRM-opleiding en nieuwskanalen.
hrmspot.nl,C10,HR-software vendor blog Nederland werkgever,Reviewplatform met inhoudelijke artikelen over HR-softwareleveranciers
hva.nl,C13,master HRM blog Nederland onderzoek werk,Hogeschool van Amsterdam met HRM opleiding en onderzoekspublicaties.
inspiratie.uwv.nl,C9,UWV Perspectief artikel werkgever,Inspiratieplatform UWV voor werkgevers met artikelen over verzuim en werkgeverschap.
ivvo.nl,C9,SER blog werkgever Nederland,Kennisplatform met blog over wat duurzame inzetbaarheid betekent.
joelaerts.nl,C6,leiderschap blog Nederland gastauteur,Persoonlijke blog over leiderschap leren en ontwikkelen
koningscoaching.nl,C11,psychosomatiek blog Nederland werk gezondheid,Coachingsblog met expliciete psychosomatiek-uitleg.
leidinggeven.com,C6,leidinggeven blog Nederland artikel,Specialistenplatform over leidinggeven met praktische tips
loi.nl,C13,master HRM blog Nederland onderzoek werk,LOI HRM-master - opleider met content over HRM.
managementsite.nl,C4|C6,vitaliteitsmanagement blog,Brede online management-publicatie met artikelen vitaliteit en burn-out.
medprevent.nl,C16,slaap arbodienst Nederland,Gecertificeerde arbodienst met blog over slaap en gezondheid.
