domain,category,source_query,first_impression
aenowaterschappen.nl,C9,A&O fonds Waterschappen blog,A&O fonds Waterschappen met blogs over vitale en wendbare organisaties.
appwiki.nl,C2|C10,verzuim software vergelijken,Vergelijkingsplatform voor HR/verzuim software met redactionele content.
arboconcern.nl,C2|C16|C9,burnout verzuim arbo,Arbodienst-blog met inhoudelijke verzuim-gerelateerde artikelen.
archipelacademy.com,C4,vitaliteitsmanager blog,Leerplatform met blogartikelen over vitaliteitsmanagement.
awvn.nl,C1|C4|C9,duurzame inzetbaarheid werkgevers,Werkgeversvereniging AWVN met content over duurzame inzetbaarheid.
berenschot.nl,C1,duurzame inzetbaarheid artikel,Adviesbureau met inhoudelijke artikelen over duurzame inzetbaarheid en HR.
bgmagazine.nl,C3|C4,bedrijfsarts HR magazine,BG Magazine - Next level HR met re-integratie en bedrijfsgeneeskunde content.
bolsterkracht.nl,C11,coach federatie Nederland blog,Coachingbureau met blogs over coachstandaarden.
brn-out.com,C16,burn-out verzuim kosten,Burn-out begeleidingsbureau met blog over verzuimkosten.
caop.nl,C15,Arbeidsmarktplatform PO leraar,Kennisinstituut publieke sector met publicaties over arbeidsmarkt en werkdruk.
circulairemaakindustrie.nl,C15,Metaalunie FME industrie werkgever,Platform circulaire maakindustrie met ondernemerscontent.
coachingvoormij.nl,C11,coaching platform Nederland gastauteur artikel,Coachmatchplatform - mogelijk kanaal voor educatieve content.
corporatewellbeing.nu,C4,corporate wellbeing blog,Nederlands platform volledig gewijd aan corporate wellbeing programma's.
defittemedewerker.nl,C4|C7,vitaliteit werkgever blog,Blog van vitaliteitsdienstverlener gericht op werkgevers en wellness programma's.
denormaalstezaak.nl,C1,XpertHR partners,Werkgeversnetwerk voor inclusief werkgeverschap; mogelijk relevant voor verzuim-preventie.
driessen.nl,C7,CNV vakbond werkgever artikel,HR-dienstverlener met kenniscentrum voor goed werkgeverschap.
egonbeaart.nl,C6,leiderschap blog Nederland gastauteur,Expert-blog over persoonlijk leiderschap
exact.com,C10,"""Tellow"" OR ""Exact"" OR ""Yoobi"" ondernemers blog HR personeel",Exact Officient HR-platform met content voor MKB-werkgevers
fixs-verzuim.nl,C10,verzuimsoftware blog Nederland werkgever,Verzuimsoftware voor arbodienst en werkgever
gevoelszaken.nl,C11,mental coach blog NL stress werknemer,Coachingsblog rond gevoel en stress.
gortcoaching.nl,C11,mental coach blog NL stress werknemer,Mental coachingsbureau met praktische werknemerstress-content.
handboekarbeidengezondheid.nl,C12,vakblad arbeid en gezondheid Nederland,Handboek Arbeid & Gezondheid - autoriteitsbron rond werk-gezondheid.
hetteamlab.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Trainingsplatform met leiderschapscontent
hracademy.nl,C13,HR opleiding blog Nederland kennisplatform,HR Academy opleider HR-professionals met contentpotentie.
huisartsopleiding.nl,C15,SBOH huisarts bedrijfsarts,Huisartsopleiding Nederland met handreikingen over goed werkgeverschap.
inspiratie.uwv.nl,C9,UWV Perspectief artikel werkgever,Inspiratieplatform UWV voor werkgevers met artikelen over verzuim en werkgeverschap.
ixly.com,C6,leiderschap blog Nederland gastauteur,Assessment-aanbieder met blog over leiderschap en HR-thema's
kngf.nl,C8,KNGF fysiotherapie blog gastauteur,Koepel beroepsvereniging fysiotherapeuten met FysioPraxis vakblad en nieuwskanalen.
leiderschapeninzetbaarheid.nl,C2|C16,HR community verzuim,Blog over leiderschap en verzuim/burn-out begeleiding door werkgevers.
lmi-nl.com,C6,leiderschap blog Nederland gastauteur,LMI Nederland blog over effectief leiderschap en teammotivatie
managementsite.nl,C4|C6,vitaliteitsmanagement blog,Brede online management-publicatie met artikelen vitaliteit en burn-out.
mensenverzuim.nl,C16,casemanagement verzuim,Mens-&-Verzuim platform met kennisbank casemanagement.
mindfullife.nl,C16,mindfulness op werk,Mindfulness-aanbieder met content over mindfulness op de werkvloer.
move4vitality.nl,C4,vitaliteit werkgever blog,Vitaliteitsbureau dat verzuim-naar-vitaliteit thema bespreekt voor werkgevers.
ned-personeel.nl,C15,industrie HR vakblad NL,Detacheerder maakindustrie met content over personeel.
nip.nl,C8,NIP psychologie publicatie auteur,Grootste beroepsvereniging psychologen NL met publicatiestromen rond werk en welzijn.
nonons.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachplatform met blog over leiderschapscoaching
nvp-hrnetwerk.nl,C8,NVP personeelsmanagement publicatie,Beroepsvereniging HR-professionals met magazine en partnerschap Tijdschrift voor HRM.
ondernemersblog.nl,C5,ondernemers blog Nederland verzuim,Platform voor en door ondernemers met content over verzuim en personeel
openup.com,C14|C15|C11,OpenUp werkgever blog,Internationaal mentaal welzijn platform met grote NL blog voor werkgevers.
overkwaliteitvanzorg.nl,C12,Qruxx Zorg artikel publicatie,Platform Kwaliteit in Zorg met openbare auteursinformatie voor inzendingen.
perspectief.eu,C16|C9,slaap werkgever blog,Adviesbureau met blog over impact van slaapproblemen op organisaties.
priorities.nl,C16,burnout werkgever blog,Coach/adviespraktijk met blogs over Arbeidsinspectie en burn-out preventie.
psyned.nl,C4|C11,werkgever stress blog,Online psychologenplatform met uitgebreide blog voor werkgevers/HR.
recruitee.com,C10,"""Officient"" OR ""Recruitee"" blog NL gastauteur",Recruitee NL blog over werving employer branding en HR-trends
rnvc.nl,C8,casemanagement register Nederland blog verzuim,Beroepsvereniging casemanagers verzuim - directe link met HR/arbo-pitchthema.
sazas.nl,C4,vitaliteit werkgever blog,Verzuimverzekeraar met uitgebreide kennisbank over vitaliteit en preventie.
ser.nl,C9,SER blog werkgever Nederland,Sociaal-Economische Raad met thema's duurzame inzetbaarheid en leven lang ontwikkelen.
sn.nl,C6,leidinggeven blog Nederland artikel,Schouten Nelissen blog over nieuw leiderschap en menselijke kant van werk
stichting-leerkracht.nl,C15,onderwijs HR blog NL,Stichting voor onderwijs met kennisbank-artikelen over strategisch HRM in onderwijs.
teamiy.com,C15,industrie HR vakblad NL,HR-platform voor maakindustrie met oplossingen en blog.
tijdschriftvoorhrm.nl,C1|C4|C6|C15|C13,HR vakblad gastblog,Wetenschappelijk HR-tijdschrift met peer-reviewed artikelen voor HR-professionals; accepteert ingezonden artikelen via redactie.
trendsinhr.nl,C6,ondernemerstijdschrift Nederland HR personeel artikel,Onderzoeksplatform met magazine over HR-trends in Nederland
vakbladijs.nl,C2,re-integratie vakblad NL,Vakblad inkomenszekerheid met nieuws over re-integratie en loondoorbetaling.
verzekerverzuim.nl,C16,casemanager verzuim,Verzuimplatform met kennisbank rond casemanagement.
vitaalconcern.nl,C16,burn-out preventie blog,Vitaliteitsadviesbureau met blog over burn-out preventie medewerkers.
vzinfo.nl,C12,vakblad arbeid en gezondheid Nederland,RIVM Volksgezondheid en Zorg info - autoriteitsplatform arbeid/gezondheid.
werkreturn.nl,C9,UWV Perspectief artikel werkgever,Re-integratiebureau met content over arbeidsongeschiktheid.
wspachterhoek.nl,C9,WSP werkgeversservicepunt artikel,Regionaal WSP met content over inclusieve arbeidsorganisatie.
xperthractueel.nl,C1|C13,XpertHR kennisplatform,Actueel deel van XpertHR met nieuws en specialistische HR-content.
zakenwijzer.nl,C2|C4,arbodienst blog werkgever,Brede zakelijke blog met categorie arbodienst voor werkgevers.
zorggidsnederland.nl,C12,Nationale Zorggids artikel insturen,Alternatieve zorgportal met artikelsectie.
zorgvoorwerkgeluk.nl,C1|C12,HR Zone werkgeluk,HRM-kennisplatform voor zorgsector met focus op werkgeluk en welzijn; relevant voor HR in zorg.
