domain,category,source_query,first_impression
afas.nl,C1|C10,duurzame inzetbaarheid kennisbank,AFAS blog/kennisbank met HR en duurzame inzetbaarheid content.
arbeidsbrein.nl,C16,mindfulness werkgever,Trainingsbureau mindfulness in bedrijf met blogcontent voor werkgevers.
arboindepraktijk.nl,C2,arbo vakblad gastartikel,Onderdeel van Arbo Professionals abonnement met praktische arbocontent.
asr.nl,C16,slaaptips werkgever,Verzekeraar a.s.r. met zakelijk blog over slaap en werknemerswelzijn.
banninkcoaching.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingspraktijk-blog over rust en richting in leiderschap
bestuursacademie.nl,C6,leidinggeven blog Nederland artikel,Bestuursacademie blog met content voor (startende) leidinggevenden
binnenlandsbestuur.nl,C7,inkomensverzekeraar blog werkgever,Vakmedium voor overheid met partnercontent over inkomenszekerheid en HR.
bouwenaandezorg.eu,C12,zorgmagazine vakblad B2B Nederland,Vakblad bouw en huisvesting zorg - minder direct relevant maar B2B-zorgkanaal.
buddee.nl,C1|C5|C13,HR-platform verzuim,HR-platform voor Nederlandse MKB met blog over verlof en verzuim.
care2care.nl,C15,SectorplanPlus zorg welzijn,Adviesbureau zorgsector met artikelen over subsidies en personeelsbehoud.
cnv.nl,C15,CNV Onderwijs HR blog,CNV vakbond met sectorpagina's onderwijs/zorg/overheid en blogs over burn-out en werkdruk.
coachlink.nl,C8,NOBCO coachlink artikel publicatie,Online vakdatabase NOBCO met open inzendmogelijkheid via redactie@coachlink.nl.
cs-opleidingen.nl,C2,RCMS casemanagement,Opleider voor casemanagement met blog/actueel-sectie en studentbijdragen.
defysiotherapeut.com,C16,psychosomatische fysiotherapie blog,Branche-platform fysio met blog over psychosomatische fysiotherapie.
deondernemer.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Vakmedia-platform voor ondernemers met categorie Personeel en podcasts
driessengroep.nl,C1,HR Zone werkgeluk,Beheert meerdere kennisplatforms (Trends in HR / werk&geluk) gericht op HR-inspiratie.
employes.nl,C5,MKB platform Nederland gastartikel HR,Salaris en HR-software voor MKB met blog over personeelsbeleid
