domain,category,source_query,first_impression,filter1_live_nl,filter2_recent_content,filter3_doelgroep_match,overall_pass,reason_if_failed,fetched_at
acp.nl,C7,inkomensverzekeraar blog werkgever,Politievakbond ACP-CNV met artikelen over arbeidsongeschiktheid en welzijn.,PASS,PASS,FAIL,FAIL,vakbond voor politiepersoneel niet HR/werkgevers-doelgroep,2026-05-23T12:37:11Z
amersfoortse.nl,C16,slaaptips werkgever blog,Verzekeraar De Amersfoortse met werkgeversblog over slaap en mindful werken.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
arbeidsdeskundigen.nl,C2|C8,arbeidsdeskundige blog NVvA,NVvA - beroepsvereniging voor arbeidsdeskundigen met nieuws- en blogsectie.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
arboindepraktijk.nl,C2,arbo vakblad gastartikel,Onderdeel van Arbo Professionals abonnement met praktische arbocontent.,PASS,UNCLEAR,PASS,PASS,geen recente datum zichtbaar in zoekresultaten betaalde kennisbank,2026-05-23T12:37:11Z
archipelacademy.com,C4,vitaliteitsmanager blog,Leerplatform met blogartikelen over vitaliteitsmanagement.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
avansplus.nl,C13,Avans HR blog opleiding HRM,Avans+ post-bachelor HRM-blog met praktijkartikelen over HR-vakgebied.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
bedrijvenconsultant.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Consultancy-blog met overzichten en gastblog-traditie,PASS,PASS,UNCLEAR,PASS,doelgroep generieke ondernemers-top10s niet specifiek HR of verzuim,2026-05-23T12:37:11Z
betuwsverzuimadvies.nl,C2,RCMS register casemanagement,Verzuimadviseur blog met informatie over casemanagement register.,PASS,UNCLEAR,PASS,PASS,geen recente datum in zoekresultaten zichtbaar,2026-05-23T12:37:11Z
blog.conamore.com,C16,psychosomatiek samenwerking,Zorgblog met artikel over psychosomatische fysiotherapie in reguliere zorg.,PASS,FAIL,PASS,FAIL,recentste content gedateerd jan 2024 geen 2025 zichtbaar,2026-05-23T12:37:11Z
bouwenaandezorg.eu,C12,zorgmagazine vakblad B2B Nederland,Vakblad bouw en huisvesting zorg - minder direct relevant maar B2B-zorgkanaal.,PASS,PASS,FAIL,FAIL,vakblad bouw en huisvesting zorg geen HR/arbo-relevantie,2026-05-23T12:37:11Z
brn-out.com,C16,burn-out verzuim kosten,Burn-out begeleidingsbureau met blog over verzuimkosten.,PASS,UNCLEAR,PASS,PASS,recentheid content onduidelijk merendeel pagina's 2019-2021,2026-05-23T12:37:11Z
caogemeenten.nl,C9,gemeente werkgevers vitaliteit blog,Centrale site cao-Gemeenten met richtlijnen over vitaliteitsbeleid.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
champ.nl,C4,corporate wellbeing blog,Netwerkplatform voor zakelijk sporten en corporate wellbeing in NL.,PASS,UNCLEAR,PASS,PASS,geen specifieke 2025 publicatiedatum in zoekresultaten,2026-05-23T12:37:11Z
coachfinder.nl,C11,coach federatie Nederland blog,Coachzoekplatform met informatieartikelen over beroepsverenigingen.,PASS,FAIL,FAIL,FAIL,coach-zoek-platform voor consumenten geen 2025-content gevonden,2026-05-23T12:37:11Z
code24.nl,C14,OpenUp blog,Tech-bureau dat case-stories deelt over mentale veerkracht met OpenUp.,PASS,PASS,FAIL,FAIL,bedrijf is EHR-leverancier voor zorg geen HR/verzuim-focus,2026-05-23T12:37:11Z
cs-opleidingen.nl,C2,RCMS casemanagement,Opleider voor casemanagement met blog/actueel-sectie en studentbijdragen.,PASS,PASS,PASS,PASS,,2026-05-23T12:38:10Z
defittemedewerker.nl,C4|C7,vitaliteit werkgever blog,Blog van vitaliteitsdienstverlener gericht op werkgevers en wellness programma's.,PASS,PASS,PASS,PASS,,2026-05-23T12:38:10Z
denkproducties.nl,C6,"""BNR"" OR ""Quote"" OR ""Forbes Nederland"" ondernemers business leiderschap",Eventorganisator met blog over werkgeluk leiderschap en MT-thema's,PASS,PASS,PASS,PASS,,2026-05-23T12:38:10Z
dotweb.com,C10,verzuimsoftware blog Nederland werkgever,Dotweb blog over inrichting van verzuimsoftware,PASS,UNCLEAR,PASS,PASS,geen 2025-datum in zoekresultaten meeste artikelen ouder,2026-05-23T12:38:10Z
dutchhealthhub.nl,C15,zorg HR blog Nederland,Online medium zorg-management met artikel over Zorg & HR.,PASS,PASS,FAIL,FAIL,focus op zorg-innovatie en zorgtech geen HR/verzuim,2026-05-23T12:38:10Z
empowr.nl,C2,burn-out werkstress verzuim,Platform voor stress- en burn-outpreventie met manager-content.,PASS,PASS,PASS,PASS,,2026-05-23T12:38:10Z
expertiseorgaan.nl,C2,arbeidsdeskundig onderzoek,Praktijkblog over arbeidsdeskundig onderzoek; B2B doelgroep.,PASS,PASS,PASS,PASS,,2026-05-23T12:38:10Z
fixs-verzuim.nl,C10,verzuimsoftware blog Nederland werkgever,Verzuimsoftware voor arbodienst en werkgever,PASS,UNCLEAR,PASS,PASS,geen recente publicatiedatum direct zichtbaar in zoekresultaten,2026-05-23T12:38:10Z
gebouwschilnederland.nl,C9,bouw HR blog Nederland verzuim,Brancheorganisatie met tips & tools duurzame inzetbaarheid bouw.,PASS,PASS,UNCLEAR,PASS,brancheorg dak/gevel focus op zzp-wetgeving niet HR-thema's,2026-05-23T12:38:10Z
gimd.nl,C16,burn-out werkgever blog,Bedrijfsmaatschappelijk werk-organisatie met HR-blog over burn-out.,PASS,PASS,PASS,PASS,,2026-05-23T12:38:10Z
gvmwerkt.nl,C2,arbeidsdeskundige blog,Arbeidsdeskundigen-blog met focus op balans tussen werk en herstel.,PASS,UNCLEAR,PASS,PASS,geen recente publicatiedatum direct zichtbaar in zoekresultaten,2026-05-23T12:38:57Z
hays.nl,C4,corporate wellbeing blog,Recruiter met wellbeing-content gericht op werkgevers.,PASS,PASS,PASS,PASS,,2026-05-23T12:38:57Z
