domain,category,source_query,first_impression
kngf.nl,C8,KNGF fysiotherapie blog gastauteur,Koepel beroepsvereniging fysiotherapeuten met FysioPraxis vakblad en nieuwskanalen.
kennisplatformfysiotherapie.nl,C8,KNGF fysiotherapie blog gastauteur,KNGF-richtlijnen platform met ruimte voor inhoudelijke vakinhoud.
nfp.kngf.nl,C8,beroepsvereniging psychosomatisch fysiotherapie,Beroepsverenging psychosomatisch fysiotherapeuten (NFP) - direct relevante doelgroep en kanaal.
nip.nl,C8,NIP psychologie publicatie auteur,Grootste beroepsvereniging psychologen NL met publicatiestromen rond werk en welzijn.
tijdschriftdepsycholoog.nl,C8,NIP psychologie publicatie auteur,NIP-vakblad De Psycholoog accepteert auteursvoorstellen met wetenschappelijke onderbouwing.
nobco.nl,C8,NOBCO coaching blog Nederland,Grootste beroepsvereniging coaches NL met e-magazine Coach voor gastbijdragen.
coachlink.nl,C8,NOBCO coachlink artikel publicatie,Online vakdatabase NOBCO met open inzendmogelijkheid via redactie@coachlink.nl.
coachingfederation.nl,C8,coach federatie Nederland blog,ICF Netherlands chapter met blog over coachingvakgebied en professionele standaarden.
arbeidsdeskundigen.nl,C8,arbeidsdeskundige NVvA blog publicatie,NVvA beroepsvereniging arbeidsdeskundigen met magazine en kennisartikelen rond verzuim/inzetbaarheid.
nvab-online.nl,C8,NVAB bedrijfsarts vakblad TBV,Beroepsvereniging bedrijfsartsen NVAB - kernpubliek voor pitch rond bedrijfsgeneeskundige zorg.
tbv-online.nl,C8,NVAB bedrijfsarts vakblad TBV,TBV - tijdschrift bedrijfs- en verzekeringsgeneeskunde - hooggekwalificeerd platform rond werk en gezondheid.
nvp-hrnetwerk.nl,C8,NVP personeelsmanagement publicatie,Beroepsvereniging HR-professionals met magazine en partnerschap Tijdschrift voor HRM.
oval.nl,C8,branche-vereniging arbo blog Nederland,Brancheorganisatie arbo- en re-integratiebedrijven met publicaties voor werkgevers.
arbounie.nl,C8,branche-vereniging arbo blog Nederland,Grootste arbodienst NL met content rond gezond werken en duurzame inzetbaarheid.
arboned.nl,C8,branche-vereniging arbo blog Nederland,Grote arbodienst met praktische blogs en branche-content voor werkgevers.
nalk.info,C8,beroepsvereniging psychosomatisch fysiotherapie,Nederlands Kennisnetwerk Aanhoudende Lichamelijke Klachten - inhoudelijke aansluiting psychosomatiek.
register-rsc.nl,C8,casemanagement register Nederland blog verzuim,Register Specialistisch Casemanagement met content voor werkgevers rond verzuimregie.
rnvc.nl,C8,casemanagement register Nederland blog verzuim,Beroepsvereniging casemanagers verzuim - directe link met HR/arbo-pitchthema.
de-nfg.nl,C8,coach federatie Nederland blog,Nederlandse Federatie Gezondheidszorg met coachregister - relevante professional doelgroep.
psychologiemagazine.nl,C11,Psychologie Magazine schrijven gastauteur,Toonaangevend consumentenblad psychologie - accepteert journalistieke proposals via redactie.
psyned.nl,C11,psycholoog blog werkgever Nederland burn-out,Psychologenplatform met dedicated werkgeverssectie en burn-outcontent.
openup.com,C11,psycholoog blog werkgever Nederland burn-out,Werkgeverspsychologieplatform (NL hoofdkantoor) met blog over mentale gezondheid op werk.
psycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Landelijk psychologenkanaal met blogs over burn-out en mentaal welzijn werknemer.
depsycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Psychologenplatform met artikelen rol werkgever bij burn-out.
de-online-psycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Online psychologenpraktijk met blogs rond burn-out preventie en herstel.
denkpro.nl,C11,psycholoog blog werkgever Nederland burn-out,Praktijkblog over overspanning en burn-out - matchend met zenuwstelsel-thema.
isamupsychologen.nl,C11,psycholoog blog werkgever Nederland burn-out,Psychologenpraktijk met inhoudelijke burn-outblogs over herstelmythen.
bofit.nl,C11,psycholoog blog werkgever Nederland burn-out,Burn-outcoachingsplatform met werkgeversangle en blogs over vergoedingen/herstel.
coaching.nl,C11,coaching platform Nederland gastauteur artikel,Landelijk coachingsplatform met artikelarchief en online tools - ruimte voor gastinhoud.
coachcircle.nl,C11,coaching platform Nederland gastauteur artikel,Coachingsmarktplaats met blog-/contentmogelijkheid.
coachingvoormij.nl,C11,coaching platform Nederland gastauteur artikel,Coachmatchplatform - mogelijk kanaal voor educatieve content.
coachfinder.nl,C11,coach federatie Nederland blog,Coachzoekplatform met informatieartikelen over beroepsverenigingen.
gortcoaching.nl,C11,mental coach blog NL stress werknemer,Mental coachingsbureau met praktische werknemerstress-content.
