domain,category,source_query,first_impression,filter1_live_nl,filter2_recent_content,filter3_doelgroep_match,overall_pass,reason_if_failed,fetched_at
2daysmood.com,C1,werkgeluk meten HR,Werkgeluk-meting blog met kennisartikelen voor HR-professionals.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
afas.nl,C1|C10,duurzame inzetbaarheid kennisbank,AFAS blog/kennisbank met HR en duurzame inzetbaarheid content.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
appwiki.nl,C2|C10,verzuim software vergelijken,Vergelijkingsplatform voor HR/verzuim software met redactionele content.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
arbo-online.nl,C2|C4|C6|C12,arbo vakblad gastartikel,Grootste kennisplatform voor arboprofessionals met nieuws en best practices.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
arboteam.nl,C16,mindful werken blog,Arbo-aanbieder met blog over mindful werken en werkstress.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
atarbo.nl,C4,vitaliteit op werkvloer,Arbodienst @arbo met preventieblog over vitaliteit.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
bedrijfsartsworden.nl,C3,bedrijfsarts opleiding,Informatieplatform over bedrijfsartsenvak met content over het beroep.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
bestuursacademie.nl,C6,leidinggeven blog Nederland artikel,Bestuursacademie blog met content voor (startende) leidinggevenden,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
bgmagazine.nl,C3|C4,bedrijfsarts HR magazine,BG Magazine - Next level HR met re-integratie en bedrijfsgeneeskunde content.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
bofit.nl,C11,psycholoog blog werkgever Nederland burn-out,Burn-outcoachingsplatform met werkgeversangle en blogs over vergoedingen/herstel.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
bpsw.nl,C12,Zorg en Welzijn vakblad publicatie auteur,Beroepsvereniging Sociaal Werk met vakblad - sociaal-werk context.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
burnoutpreventienederland.nl,C11,mental coach blog NL stress werknemer,Burn-outpreventieplatform - directe doelgroep voor zenuwstelsel-regulatie content.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
care4careers.nl,C16,casemanager re-integratie,Re-integratiebureau met kenniscentrum over casemanagement.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
cnv.nl,C15,CNV Onderwijs HR blog,CNV vakbond met sectorpagina's onderwijs/zorg/overheid en blogs over burn-out en werkdruk.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
coachingvoormij.nl,C11,coaching platform Nederland gastauteur artikel,Coachmatchplatform - mogelijk kanaal voor educatieve content.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
conciencia-coaching.nl,C15,CNV Onderwijs HR blog,Coachpraktijk met blogs over oorzaken burn-out in onderwijs.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
de-nfg.nl,C8,coach federatie Nederland blog,Nederlandse Federatie Gezondheidszorg met coachregister - relevante professional doelgroep.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
denieuweleider.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingsplatform met content over authentiek leiderschap,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
depsycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Psychologenplatform met artikelen rol werkgever bij burn-out.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
driessengroep.nl,C1,HR Zone werkgeluk,Beheert meerdere kennisplatforms (Trends in HR / werk&geluk) gericht op HR-inspiratie.,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
egonbeaart.nl,C6,leiderschap blog Nederland gastauteur,Expert-blog over persoonlijk leiderschap,FAIL,UNCLEAR,UNCLEAR,FAIL,fetch error: HTTP 403 host niet in sandbox-allowlist,2026-05-23T12:37:08Z
