domain,category,source_query,first_impression,filter1_live_nl,filter2_recent_content,filter3_doelgroep_match,overall_pass,reason_if_failed,fetched_at
aeno.nl,C9,gemeente werkgevers vitaliteit blog,A&O fonds Gemeenten met blog en kennisbank over vitaliteit en thuiswerken.,PASS,PASS,PASS,PASS,,2026-05-23T12:40:00Z
aofondsrijk.nl,C9,A&O fonds Rijk blog,A+O fonds Rijk met content over werkplezier en duurzame inzetbaarheid bij rijksoverheid.,PASS,PASS,PASS,PASS,,2026-05-23T12:40:00Z
arbeidsmarktplatformpo.nl,C15,Arbeidsmarktplatform PO leraar,Expertisecentrum arbeidsmarkt primair onderwijs met onderzoeken over werkbelasting leraren.,PASS,PASS,PASS,PASS,,2026-05-23T12:40:00Z
arboned.nl,C16|C15|C8,werkstress arbodienst,Grote arbodienst met uitgebreide kennisbank over werkstress en slaap.,PASS,PASS,PASS,PASS,,2026-05-23T12:40:00Z
asr.nl,C16,slaaptips werkgever,Verzekeraar a.s.r. met zakelijk blog over slaap en werknemerswelzijn.,PASS,PASS,PASS,PASS,,2026-05-23T12:40:00Z
awvn.nl,C1|C4|C9,duurzame inzetbaarheid werkgevers,Werkgeversvereniging AWVN met content over duurzame inzetbaarheid.,PASS,PASS,PASS,PASS,,2026-05-23T12:40:00Z
bentlie.nl,C9,SER blog werkgever Nederland,Adviesbureau met kennisartikelen over duurzame inzetbaarheid.,PASS,UNCLEAR,PASS,PASS,geen expliciete 2025/2026 datum gevonden in zoekresultaten,2026-05-23T12:40:00Z
bewegennaargezondheid.nl,C11,psychosomatiek blog Nederland werk gezondheid,Psychosomatische fysiotherapiepraktijk met blog - vakgenoot mogelijk waardevol als peer.,PASS,PASS,UNCLEAR,UNCLEAR,B2C-fysiopraktijkblog met patientenadvies; werkgevers-relevantie beperkt,2026-05-23T12:40:00Z
blog.vebego.nl,C4,vitaliteit werkgever blog,Corporate blog van facilitair bedrijf met vitaliteitstips voor medewerkers.,PASS,UNCLEAR,PASS,PASS,beperkte zoekresultaten zonder duidelijke 2025-datum,2026-05-23T12:40:00Z
bouwendnederland.nl,C15,bouw HR blog Nederland verzuim,Brancheorganisatie bouw met nieuwsartikelen over verzuimpreventie en werkstress.,PASS,PASS,PASS,PASS,,2026-05-23T12:40:00Z
buddee.nl,C1|C5|C13,HR-platform verzuim,HR-platform voor Nederlandse MKB met blog over verlof en verzuim.,PASS,UNCLEAR,PASS,PASS,geen expliciete 2025-datum in zoekresultaten,2026-05-23T12:42:00Z
caop.nl,C15,Arbeidsmarktplatform PO leraar,Kennisinstituut publieke sector met publicaties over arbeidsmarkt en werkdruk.,PASS,PASS,PASS,PASS,,2026-05-23T12:42:00Z
