domain,category,source_query,first_impression
acp.nl,C7,inkomensverzekeraar blog werkgever,Politievakbond ACP-CNV met artikelen over arbeidsongeschiktheid en welzijn.
aofondsrijk.nl,C9,A&O fonds Rijk blog,A+O fonds Rijk met content over werkplezier en duurzame inzetbaarheid bij rijksoverheid.
arbeidspsychologenmiddennederland.nl,C16,polyvagaal blog werkgever,Arbeidspsychologen met blog over polyvagaal theorie in werkcontext.
arboteam.nl,C16,mindful werken blog,Arbo-aanbieder met blog over mindful werken en werkstress.
avans.nl,C13,Avans HR blog opleiding HRM,Avans Hogeschool met HRM-opleiding - mogelijk kanaal via lectoraten/blogs.
bedrijvenconsultant.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Consultancy-blog met overzichten en gastblog-traditie
bewegennaargezondheid.nl,C11,psychosomatiek blog Nederland werk gezondheid,Psychosomatische fysiotherapiepraktijk met blog - vakgenoot mogelijk waardevol als peer.
bluevi.com,C10,verzuimsoftware blog Nederland werkgever,BlueVi blog over verzuimsoftware-keuzes voor werkgevers
bpsw.nl,C12,Zorg en Welzijn vakblad publicatie auteur,Beroepsvereniging Sociaal Werk met vakblad - sociaal-werk context.
bvo.nl,C6,leidinggeven blog Nederland artikel,Opleidingsblog over hierarchisch en functioneel leidinggeven
champ.nl,C4,corporate wellbeing blog,Netwerkplatform voor zakelijk sporten en corporate wellbeing in NL.
coaching.nl,C11,coaching platform Nederland gastauteur artikel,Landelijk coachingsplatform met artikelarchief en online tools - ruimte voor gastinhoud.
compucase.nl,C2,verzuim software,Verzuim software-leverancier met B2B content.
de-nfg.nl,C8,coach federatie Nederland blog,Nederlandse Federatie Gezondheidszorg met coachregister - relevante professional doelgroep.
denkpro.nl,C11,psycholoog blog werkgever Nederland burn-out,Praktijkblog over overspanning en burn-out - matchend met zenuwstelsel-thema.
dotweb.com,C10,verzuimsoftware blog Nederland werkgever,Dotweb blog over inrichting van verzuimsoftware
duurzaaminzetbaarheidcentrum.nl,C4,duurzame inzetbaarheid vakblad,Themaplatform duurzame inzetbaarheid voor werkgevers.
ergonomiewebshop.nl,C16,ergonomisch werken,Ergonomie-webshop met blog over gezond werken.
fhris.nl,C10,verzuimsoftware blog Nederland werkgever,Aanbieder van HR- en verzuimregistratie-software met inhoudelijke blogs
fooks.nl,C10,verzuimsoftware blog Nederland werkgever,Verzuimsoftware-aanbieder met blog over verzuim op de werkvloer
gimd.nl,C16,burn-out werkgever blog,Bedrijfsmaatschappelijk werk-organisatie met HR-blog over burn-out.
habeoplus.nl,C13,master HRM blog Nederland onderzoek werk,Habeo+ (Avans-gerelateerd) blog met HRM-masterthema's.
health.nl,C12,Zorg en Welzijn vakblad publicatie auteur,Verzamelportal vakbladen zorg.
hoorayhr.io,C1|C16|C5,verzuim platform HR,All-in-one HR software voor MKB met verzuim/verlof content en blog.
hrpraktijk.nl,C1|C6|C15,HR-platform gastartikel,Grote HR-community met 25.000+ leden; whitepapers en cases over arbo en verzuim staan op de site.
imkopleidingen.nl,C1|C13,expertbijdrage HR,HR-opleider met artikelen en podcasts; kennisruimte voor HR-expertise.
isbw.nl,C13,HR opleiding blog Nederland kennisplatform,ISBW HRM-opleider met blog over korte HRM-trainingen.
joelaerts.nl,C6,leiderschap blog Nederland gastauteur,Persoonlijke blog over leiderschap leren en ontwikkelen
lad.nl,C15,SBOH huisarts bedrijfsarts,Landelijke vereniging artsen in dienstverband met cao- en HR-content voor zorg.
liberi.nl,C2,burn-out HR coaching,Coachingplatform met burn-out en bedrijfsgezondheid artikelen voor HR.
managementdrives.com,C4,duurzame inzetbaarheid vakblad,Vakblad Arbo-content publicerend met artikelen duurzame inzetbaarheid.
medischcontact.nl,C3|C12,bedrijfsgezondheidszorg artikel,Vakblad KNMG met blogs en opinies over bedrijfsgezondheidszorg en bedrijfsartsen.
mettom.nl,C2,arbodienst werkgever blog,Arbodienst-blog over verplichtingen voor werkgevers.
mkbdirect.nl,C2,arbodienst MKB,MKB-nieuwsplatform met arbodienst-content voor kleinere werkgevers.
nationalezorggids.nl,C12,Nationale Zorggids artikel insturen,Zorgnieuwsplatform met betaalde maar laagdrempelige gastblogoptie voor professionals.
nicedaynederland.nl,C14,Niceday Nederland blog,Online behandelplatform voor burn-out en stress met content voor werkenden.
nn.nl,C16|C5|C7,stress werkgever blog,Verzekeraar Nationale-Nederlanden met zakelijk blog over stress en verzuim.
ntvg.nl,C3,bedrijfsgeneeskunde NTVG,Nederlands Tijdschrift voor Geneeskunde met artikelen over bedrijfsgeneeskunde.
ondernemenmetpersoneel.nl,C5|C9,Nederlandse ondernemers magazine personeel verzuim,Specifiek platform voor werkgevers met content over verzuim en HR-trends
onderzoekonderwijs.net,C15,CNV Onderwijs HR blog,Blogcollectief onderzoek onderwijs over burn-out als beroepsrisico.
othersideatwork.nl,C10,verzuimsoftware blog Nederland werkgever,Xpert Suite verzuimsoftware met klantverhalen en gedragsmatige visie op verzuim
personio.nl,C10,"""Personio"" Nederland blog HR",Personio NL blog met HR-statistieken en strategie-content
poraad.nl,C15,onderwijs HR blog NL,PO-Raad sectororganisatie primair onderwijs met dossiers over werkdruk en strategisch HR.
psycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Landelijk psychologenkanaal met blogs over burn-out en mentaal welzijn werknemer.
qruxx.com,C12,Qruxx Zorg artikel publicatie,Kennisplatform passende zorg (geintegreerd met Zorgvisie) met openheid voor inhoudelijke bijdragen.
rendement.nl,C4|C6|C15|C12,vitaliteitsmanager blog,Praktijkvakblad voor HR/arbo professionals met grote bereik.
samennaarresultaat.nl,C11,mental coach blog NL stress werknemer,Coach voor leidinggevenden met werkstresscontent - past bij HR-thema.
securex.nl,C15,zorg HR blog Nederland,HR-dienstverlener met blogs over HR-uitdagingen in de zorg.
smarthealth.works,C16,stress werkgever blog,Werkstress-platform met blog gericht op werkgevers.
stavv.nl,C16,casemanager re-integratie,Verzuimbureau met blog over re-integratie en casemanagement.
tbv-online.nl,C3|C8,Tijdschrift Bedrijfs- en Verzekeringsgeneeskunde,Tijdschrift voor Bedrijfs- en Verzekeringsgeneeskunde; accepteert manuscripts via redactie.
tibor.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Coachingsblog over teamprestaties en leiderschap
trainjegelukscompetenties.nl,C1,HR werkgeluk,Werkgeluk-content voor HR managers; klein platform met gericht thema.
unive.nl,C5,ondernemers blog Nederland verzuim,Verzekeraar met zakelijke blog over verzuim en CAO-vraagstukken
vernet.nl,C7,vernet verzuim benchmark zorg,Marktleider verzuimbenchmark zorg sinds 1996 met data en analyses.
vismaraet.nl,C10,"""Visma Raet"" blog gastauteur HR",Kennisbank met HR-blog en gastbijdragen van directie
volandis.nl,C9,SER blog werkgever Nederland,Kenniscentrum duurzame inzetbaarheid bouw & infra met blog over verzuimpreventie.
werkenveiligheid.nl,C2|C12,vitaliteit werk preventie,Kennisplatform over preventie RI&E en sociale veiligheid; vitaliteitsbeleid en duurzame inzetbaarheid.
wijzerondernemen.nl,C5,ondernemers blog Nederland verzuim,Ondernemersblog met tips inclusief gastblog-mogelijkheden
wspzkij.nl,C9,WSP werkgeversservicepunt artikel,WSP Zuid-Kennemerland/IJmond met verslagen en artikelen over inclusie.
youngworks.nl,C4,mentaal welzijn blog,Onderzoeksbureau over jongeren met blog over mentale gezondheid op werk.
zorgaanzet.org,C15,SectorplanPlus zorg welzijn,Regionaal werkgeversverband zorg Limburg met blog over personeelsbehoud.
zorgpleinnoord.nl,C15,RegioPlus zorgwerkgever blog,Regionaal werkgeversverband zorg Noord-Nederland met artikelen.
zw-connect.nl,C15,RegioPlus zorgwerkgever blog,Online platform zorg & welzijn met arbeidsmarkt- en HR-content.
