domain,category,source_query,first_impression
academysuite.nl,C15,SectorplanPlus zorg welzijn,Opleidingsplatform met blogs over behoud zorgmedewerkers.
allesoverhr.nl,C13,Tijdschrift voor HRM gastauteur artikel,Platform Alles over HR met expertcontent - HR-doelgroep.
arbeidsbrein.nl,C16,mindfulness werkgever,Trainingsbureau mindfulness in bedrijf met blogcontent voor werkgevers.
arboconcern.nl,C2|C16|C9,burnout verzuim arbo,Arbodienst-blog met inhoudelijke verzuim-gerelateerde artikelen.
arbounie.nl,C16|C8,arbo werkstress,Arbodienst met grote kennisbank voor werknemers en werkgevers.
avans.nl,C13,Avans HR blog opleiding HRM,Avans Hogeschool met HRM-opleiding - mogelijk kanaal via lectoraten/blogs.
bedrijfsfitnessnederland.nl,C2|C4,burn-out preventie cijfers,Kennisbank met artikelen over burn-outpreventie en employee benefits.
besuitable.nl,C2|C16,casemanagement geregistreerd,Be Suitable platform met geregistreerde specialisten en content.
binnenlandsbestuur.nl,C7,inkomensverzekeraar blog werkgever,Vakmedium voor overheid met partnercontent over inkomenszekerheid en HR.
bolsterkracht.nl,C11,coach federatie Nederland blog,Coachingbureau met blogs over coachstandaarden.
brainnetwork.nl,C11,psychosomatiek blog Nederland werk gezondheid,Psychologie-blog over breinwerking - dichtbij zenuwstelselthema.
bvo.nl,C6,leidinggeven blog Nederland artikel,Opleidingsblog over hierarchisch en functioneel leidinggeven
centraalbeheer.nl,C1|C16,duurzame inzetbaarheid blog,Verzekeraar zakelijke blog met Lekker Bezig programma over duurzame inzetbaarheid.
coachcircle.nl,C11,coaching platform Nederland gastauteur artikel,Coachingsmarktplaats met blog-/contentmogelijkheid.
coachlink.nl,C8,NOBCO coachlink artikel publicatie,Online vakdatabase NOBCO met open inzendmogelijkheid via redactie@coachlink.nl.
corporatewellbeing.nu,C4,corporate wellbeing blog,Nederlands platform volledig gewijd aan corporate wellbeing programma's.
de-online-psycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Online psychologenpraktijk met blogs rond burn-out preventie en herstel.
denkpro.nl,C11,psycholoog blog werkgever Nederland burn-out,Praktijkblog over overspanning en burn-out - matchend met zenuwstelsel-thema.
devitaliteitsmanager.nl,C4,vitaliteitsmanager blog,Adviespraktijk met blog over verzuimreductie en vitaal leiderschap.
dsw.nl,C7,zorgverzekeraar werkgever content,Zorgverzekeraar uit Schiedam met artikelen voor consumenten en werkgevers.
employes.nl,C5,MKB platform Nederland gastartikel HR,Salaris en HR-software voor MKB met blog over personeelsbeleid
exact.com,C10,"""Tellow"" OR ""Exact"" OR ""Yoobi"" ondernemers blog HR personeel",Exact Officient HR-platform met content voor MKB-werkgevers
fitvoormorgen.pggmenco.nl,C7,vernet verzuim benchmark zorg,Platform PGGM&CO met producten en diensten rond verzuim in zorg.
fooks.nl,C10,verzuimsoftware blog Nederland werkgever,Verzuimsoftware-aanbieder met blog over verzuim op de werkvloer
ggznieuws.nl,C4,mentaal welzijn werkvloer,Nieuwsplatform GGZ met regelmatig artikelen over werk en mentale gezondheid.
greatplacetowork.nl,C4|C6,burn-out blog werkgever,Werkgeverscertificering met inspiratieblog over werkstress en burn-out.
hartenweg.nl,C16,polyvagaal theorie blog,Praktijkblog over polyvagaal theorie en lichaamswerk.
hetteamlab.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Trainingsplatform met leiderschapscontent
hr24.nl,C1,expertbijdrage HR,Regionaal HR-netwerk Noord-Nederland met trainingen en kennisdeling.
hrpraktijk.nl,C1|C6|C15,HR-platform gastartikel,Grote HR-community met 25.000+ leden; whitepapers en cases over arbo en verzuim staan op de site.
ikgastarten.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",KvK-platform voor startende ondernemers met startersverhalen
interpolis.nl,C5,Nederlandse ondernemers magazine personeel verzuim,Verzekeraar met magazine Welbevinden over personeel behouden
jehcoaching.nl,C11,coach federatie Nederland blog,Coachingsblog met inhoudelijke artikelen over ICF en coachvak.
kngf.nl,C8,KNGF fysiotherapie blog gastauteur,Koepel beroepsvereniging fysiotherapeuten met FysioPraxis vakblad en nieuwskanalen.
leanz.nl,C2,arbeidsdeskundige UWV,Blog over arbeidsdeskundigen en re-integratie processen.
liberi.nl,C2,burn-out HR coaching,Coachingplatform met burn-out en bedrijfsgezondheid artikelen voor HR.
managementboek.nl,C6,Sprout MT schrijf mee gastauteur,Boek- en kennisplatform met auteursprofielen rondom management en leiderschap
managementsupport.nl,C6,management vakblad Nederland schrijf mee bijdrage,Vakblad voor management-support en secretariaat-professionals
mentalcoaching.nl,C11,mental coach blog NL stress werknemer,Praktijk gericht op stress en vastlopen op werk - aansluitend doelgroep.
mindfullife.nl,C16,mindfulness op werk,Mindfulness-aanbieder met content over mindfulness op de werkvloer.
mkbservicedesk.nl,C5,"""MKB Servicedesk"" OR ""De Ondernemer"" gastauteur",Kennisbank van MKB-Nederland met sectie over verzuim en re-integratie
nationalezorggids.nl,C12,Nationale Zorggids artikel insturen,Zorgnieuwsplatform met betaalde maar laagdrempelige gastblogoptie voor professionals.
niceday.app,C14,Niceday burn-out blog,Coaching/therapie app met kennisbank over burn-out en re-integratie.
