domain,category,source_query,first_impression
buddee.nl,C5,MKB platform Nederland gastartikel HR,HR/salaris-platform voor het MKB met blog over personeelszaken
hoorayhr.io,C5,MKB platform Nederland gastartikel HR,Alles-in-een HR-software voor MKB met blog over personeel en verzuim
employes.nl,C5,MKB platform Nederland gastartikel HR,Salaris en HR-software voor MKB met blog over personeelsbeleid
team-hr.nl,C5,MKB platform Nederland gastartikel HR,HR-adviesbureau voor MKB met content over personeelsstrategie
shiftbase.com,C5,HR-software vendor blog Nederland werkgever,Workforce-management tool met uitgebreide NL blog over HR-platformen
ondernemersblog.nl,C5,ondernemers blog Nederland verzuim,Platform voor en door ondernemers met content over verzuim en personeel
wijzerondernemen.nl,C5,ondernemers blog Nederland verzuim,Ondernemersblog met tips inclusief gastblog-mogelijkheden
yezzer.nl,C5,ondernemers blog Nederland verzuim,Blog van verzuim-experts met praktische artikelen over verzuimgesprekken
smartservices.nl,C5,ondernemers blog Nederland verzuim,Arbo/verzuim-adviseur met blog gericht op MKB-ondernemers
veldhuisadvies.nl,C5,ondernemers blog Nederland verzuim,Adviesbureau met blog over vitaal leiderschap en verzuim
unive.nl,C5,ondernemers blog Nederland verzuim,Verzekeraar met zakelijke blog over verzuim en CAO-vraagstukken
nn.nl,C5,ondernemers blog Nederland verzuim,NN Group zakelijk portaal met preventie- en verzuimartikelen
rabobank.nl,C5,ondernemers blog Nederland verzuim,Rabobank ondernemers-portaal met content over verzuim en personeel
interpolis.nl,C5,Nederlandse ondernemers magazine personeel verzuim,Verzekeraar met magazine Welbevinden over personeel behouden
goudse.nl,C5,Nederlandse ondernemers magazine personeel verzuim,De Goudse verzekeraar met praktische tips voor MKB over verzuim
ondernemenmetpersoneel.nl,C5,Nederlandse ondernemers magazine personeel verzuim,Specifiek platform voor werkgevers met content over verzuim en HR-trends
mkbservicedesk.nl,C5,"""MKB Servicedesk"" OR ""De Ondernemer"" gastauteur",Kennisbank van MKB-Nederland met sectie over verzuim en re-integratie
mkb.nl,C5,"""MKB Servicedesk"" OR ""De Ondernemer"" gastauteur",MKB-Nederland brancheorganisatie met publicaties voor werkgevers
deondernemer.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Vakmedia-platform voor ondernemers met categorie Personeel en podcasts
ikgastarten.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",KvK-platform voor startende ondernemers met startersverhalen
zichtbaarnetwerken.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Ondernemersnetwerk met expliciete gastblog-mogelijkheid
zakelijkgroeien.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Platform voor zzp en ondernemers met ondernemers-content
bedrijvenconsultant.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",Consultancy-blog met overzichten en gastblog-traditie
sprout.nl,C5,Sprout MT schrijf mee gastauteur,Platform van MT/Sprout voor ondernemers en scale-ups met redactie-input
mtsprout.nl,C6,Sprout MT schrijf mee gastauteur,Toonaangevend management/leiderschap-platform open voor tips en bijdragen
managementsite.nl,C6,"""ManagementSite"" OR ""ManagementTeam"" auteur worden",Vakplatform voor management met expliciet schrijf-mee-programma voor auteurs
managementstart.nl,C6,directeur platform Nederland artikel publiceren,Platform voor managers en directeuren met open uitnodiging om te publiceren
managementscope.nl,C6,management vakblad Nederland schrijf mee bijdrage,Vakblad voor managers directeuren en commissarissen
