domain,category,source_query,first_impression
zilverenkruis.nl,C7,Zilveren Kruis werkgevers blog,Zakelijke blog van grote zorgverzekeraar met verzuim- en vitaliteitsartikelen voor werkgevers.
mtsprout.nl,C7,Zilveren Kruis werkgevers blog,Zakelijk mediaplatform met partnercontent over vitaliteit en investeren in medewerkers.
gezondinbedrijf.com,C7,Zilveren Kruis werkgevers blog,Business school voor verzuim & vitaliteit met blog gericht op HR en leidinggevenden.
cz.nl,C7,CZ zakelijk werkgever artikel,Zakelijk portaal van zorgverzekeraar CZ met uitgebreide verzuim- en inzetbaarheidscontent.
onvz.nl,C7,ONVZ werkgever content,Werkgeverssectie 'Job Werkt' met blogs over vitaliteit en preventie voor werkgevers.
menzis.nl,C7,Menzis werkgever vitaliteit blog,Menzis Zakelijk publiceert blogs over leefkracht en vitaliteit voor werkgevers.
vitaliblij.nl,C7,Menzis werkgever vitaliteit blog,Blog gericht op vitaliteit binnen gemeenten en organisaties.
defittemedewerker.nl,C7,Menzis werkgever vitaliteit blog,Site over vitaliteit voor werkgevers en medewerkers met blogs.
zorgwijzer.nl,C7,zorgverzekeraar werkgever content,Vergelijkingssite met content over zorgverzekeraars in Nederland.
zn.nl,C7,zorgverzekeraar werkgever content,Brancheorganisatie Zorgverzekeraars Nederland met beleidscontent.
dsw.nl,C7,zorgverzekeraar werkgever content,Zorgverzekeraar uit Schiedam met artikelen voor consumenten en werkgevers.
loyalis.nl,C7,inkomensverzekeraar blog werkgever,Specialist inkomensverzekering met content voor werkgevers in zorg/bouw/onderwijs/overheid.
aovergelijken.nl,C7,inkomensverzekeraar blog werkgever,Blogplatform over arbeidsongeschiktheidsverzekeringen.
binnenlandsbestuur.nl,C7,inkomensverzekeraar blog werkgever,Vakmedium voor overheid met partnercontent over inkomenszekerheid en HR.
zorgvisie.nl,C7,inkomensverzekeraar blog werkgever,Vakmedium zorgmanagement met partnercontent over arbeidsongeschiktheid en HR-zorg.
politiebond.nl,C7,inkomensverzekeraar blog werkgever,Vakbondsite politie met content over inkomensbescherming en vitaliteit.
acp.nl,C7,inkomensverzekeraar blog werkgever,Politievakbond ACP-CNV met artikelen over arbeidsongeschiktheid en welzijn.
vvponline.nl,C7,inkomensverzekeraar blog werkgever,Vakmedium voor financieel adviseurs met artikelen over vroege interventies psychische klachten.
verzekeringskaarten.nl,C7,inkomensverzekeraar blog werkgever,Informatiesite over verzekeringsproducten waaronder AOV.
nn.nl,C7,NN zakelijk werkgever blog,Nationale-Nederlanden Zakelijk met uitgebreide werkgevers-content over verzuim en preventie.
assistverzuim.nl,C7,CNV vakbond werkgever artikel,Verzuimbureau met blog over rouw op het werk en preventie.
driessen.nl,C7,CNV vakbond werkgever artikel,HR-dienstverlener met kenniscentrum voor goed werkgeverschap.
vernet.nl,C7,vernet verzuim benchmark zorg,Marktleider verzuimbenchmark zorg sinds 1996 met data en analyses.
fitvoormorgen.pggmenco.nl,C7,vernet verzuim benchmark zorg,Platform PGGM&CO met producten en diensten rond verzuim in zorg.
pggm.nl,C7,vernet verzuim benchmark zorg,Pensioenuitvoerder zorg met persberichten en publicaties over verzuim in de zorgsector.
zorgkrant.nl,C7,vernet verzuim benchmark zorg,Vakmedium zorg met nieuwsartikelen over verzuim en cao.
perspectief.eu,C9,UWV Perspectief artikel werkgever,Arbo-dienstverlener met kennisbank over Wet verbetering poortwachter en re-integratie.
werkreturn.nl,C9,UWV Perspectief artikel werkgever,Re-integratiebureau met content over arbeidsongeschiktheid.
inspiratie.uwv.nl,C9,UWV Perspectief artikel werkgever,Inspiratieplatform UWV voor werkgevers met artikelen over verzuim en werkgeverschap.
perspectief-adviesgroep.nl,C9,UWV Perspectief artikel werkgever,Adviesgroep voor bedrijfsoptimalisatie en verzuim-/re-integratiebegeleiding.
arboconcern.nl,C9,UWV Perspectief artikel werkgever,Arbodienst met blog over deskundigenoordelen en verzuim.
remplooi.nl,C9,UWV Perspectief artikel werkgever,Re-integratiebedrijf met blogs over verzuimprotocol en HR-praktijk.
ser.nl,C9,SER blog werkgever Nederland,Sociaal-Economische Raad met thema's duurzame inzetbaarheid en leven lang ontwikkelen.
ivvo.nl,C9,SER blog werkgever Nederland,Kennisplatform met blog over wat duurzame inzetbaarheid betekent.
volandis.nl,C9,SER blog werkgever Nederland,Kenniscentrum duurzame inzetbaarheid bouw & infra met blog over verzuimpreventie.
operatiefrissepeper.nl,C9,SER blog werkgever Nederland,Initiatief rond duurzame inzetbaarheid met praktische voorbeelden.
bentlie.nl,C9,SER blog werkgever Nederland,Adviesbureau met kennisartikelen over duurzame inzetbaarheid.
awvn.nl,C9,AWVN publicatie werkgever,Grootste werkgeversvereniging met uitgebreide HR-publicaties en blogs voor werkgevers.
wspgrootamsterdam.nl,C9,WSP werkgeversservicepunt artikel,Werkgeversservicepunt Amsterdam met artikelen over inclusief werkgeverschap.
samenvoordeklant.nl,C9,WSP werkgeversservicepunt artikel,Landelijk platform werkgeversservicepunten met content over arbeidsmarkt.
wspachterhoek.nl,C9,WSP werkgeversservicepunt artikel,Regionaal WSP met content over inclusieve arbeidsorganisatie.
waarderpolder.nl,C9,WSP werkgeversservicepunt artikel,Bedrijventerrein-platform met artikelen over inclusief werkgeverschap.
wspgv.nl,C9,WSP werkgeversservicepunt artikel,WSP Groot-Voorne met content over inclusief werkgeverschap.
wsprivierenland.nl,C9,WSP werkgeversservicepunt artikel,Regionaal WSP Rivierenland met blogartikelen over sociaal ondernemen.
wspzkij.nl,C9,WSP werkgeversservicepunt artikel,WSP Zuid-Kennemerland/IJmond met verslagen en artikelen over inclusie.
caogemeenten.nl,C9,gemeente werkgevers vitaliteit blog,Centrale site cao-Gemeenten met richtlijnen over vitaliteitsbeleid.
aeno.nl,C9,gemeente werkgevers vitaliteit blog,A&O fonds Gemeenten met blog en kennisbank over vitaliteit en thuiswerken.
wsgo.nl,C9,gemeente werkgevers vitaliteit blog,Werkgeversvereniging Samenwerkende Gemeentelijke Organisaties met cao-content.
aenowaterschappen.nl,C9,A&O fonds Waterschappen blog,A&O fonds Waterschappen met blogs over vitale en wendbare organisaties.
aofondsrijk.nl,C9,A&O fonds Rijk blog,A+O fonds Rijk met content over werkplezier en duurzame inzetbaarheid bij rijksoverheid.
publiekdenken.nl,C9,A&O fonds Rijk blog,Online magazine voor publieke sector met content over A&O-fondsen.
werkeninfriesland.nl,C9,A&O fonds Rijk blog,Regionaal arbeidsmarktplatform met artikelen over werkgeverschap.
gebouwschilnederland.nl,C9,bouw HR blog Nederland verzuim,Brancheorganisatie met tips & tools duurzame inzetbaarheid bouw.
ondernemenmetpersoneel.nl,C9,bouw HR blog Nederland verzuim,Brede HR-site met sectorpagina's over arbobeleid en verzuim per branche.
venvn.nl,C15,V&VN zorg HR blog,Beroepsvereniging V&VN met magazine en blogs over werkdruk en grenzen stellen in zorg.
cnv.nl,C15,CNV Onderwijs HR blog,CNV vakbond met sectorpagina's onderwijs/zorg/overheid en blogs over burn-out en werkdruk.
onderwijscommunity.nl,C15,CNV Onderwijs HR blog,Community-site onderwijs met artikelen over burn-out en strategisch HR in onderwijs.
openup.com,C15,CNV Onderwijs HR blog,Mental health platform met blogs over burn-out in onderwijs.
probaat.nu,C15,CNV Onderwijs HR blog,Werkgeluk-platform met thema-artikelen over werkstress en burn-out per sector.
onderzoekonderwijs.net,C15,CNV Onderwijs HR blog,Blogcollectief onderzoek onderwijs over burn-out als beroepsrisico.
stressvrijvoordeklas.nl,C15,CNV Onderwijs HR blog,Coachingblog voor leerkrachten met burn-out en stress.
conciencia-coaching.nl,C15,CNV Onderwijs HR blog,Coachpraktijk met blogs over oorzaken burn-out in onderwijs.
onderwijsvanmorgen.nl,C15,CNV Onderwijs HR blog,Onderwijsmedium met artikelen over werkdruk en werkgeluk.
ruudmeulenberg.nl,C15,CNV Onderwijs HR blog,Coach-blog gericht op burn-out in het onderwijs.
fnv.nl,C15,FNV werkgever blog,FNV met uitgebreide content over werkdruk en burn-out voor sectoren en werkgevers.
eprom.nl,C15,FNV werkgever blog,Bedrijf met blog over werkdruk en burn-outklachten als pandemie.
werkbaarwerk.be,C15,FNV werkgever blog,Belgisch platform met tools en voorbeelden over werkdruk (BE/NL).
bouwendnederland.nl,C15,bouw HR blog Nederland verzuim,Brancheorganisatie bouw met nieuwsartikelen over verzuimpreventie en werkstress.
arboned.nl,C15,bouw HR blog Nederland verzuim,Grote arbodienst met samenwerkingscontent voor brancheorganisaties.
teamiy.com,C15,industrie HR vakblad NL,HR-platform voor maakindustrie met oplossingen en blog.
industrievandaag.nl,C15,industrie HR vakblad NL,Onafhankelijk platform met overzicht industrievakbladen en HR-nieuws.
tijdschriftvoorhrm.nl,C15,industrie HR vakblad NL,Wetenschappelijk vaktijdschrift HRM met artikelen over werk in industrie.
hrpraktijk.nl,C15,industrie HR vakblad NL,Brede HR-site (Sijthoff) met content over duurzame inzetbaarheid en arbo.
rendement.nl,C15,industrie HR vakblad NL,Uitgever vakbladen waaronder HR Rendement met praktische werkgeverscontent.
mybusinessmedia.nl,C15,industrie HR vakblad NL,Uitgever van industriebladen en HR-titels.
ned-personeel.nl,C15,industrie HR vakblad NL,Detacheerder maakindustrie met content over personeel.
pwnet.nl,C15,industrie HR vakblad NL,PW. HR-vakmedium met meer dan 1500 artikelen over employee experience en arbeidsrecht.
nvz-ziekenhuizen.nl,C15,zorg HR blog Nederland,Vereniging Nederlandse Ziekenhuizen met opinieartikelen over HR-beleid in zorg.
phocus.nl,C15,zorg HR blog Nederland,HR-adviesbureau met sectorpagina en blogs over HR in de zorg.
securex.nl,C15,zorg HR blog Nederland,HR-dienstverlener met blogs over HR-uitdagingen in de zorg.
interimworx.nl,C15,zorg HR blog Nederland,Detacheerder HR in de zorg met sectorinformatie.
dutchhealthhub.nl,C15,zorg HR blog Nederland,Online medium zorg-management met artikel over Zorg & HR.
budgetcoach.nl,C15,zorg HR blog Nederland,Budgetcoaching met blogs voor werkgevers in zorg over geldzorgen personeel.
stichting-leerkracht.nl,C15,onderwijs HR blog NL,Stichting voor onderwijs met kennisbank-artikelen over strategisch HRM in onderwijs.
vo-raad.nl,C15,onderwijs HR blog NL,Sectororganisatie voortgezet onderwijs met nieuws over werkstress en personeelsbeleid.
wij-leren.nl,C15,onderwijs HR blog NL,Onderwijskennisbank met begrippenpagina's over HRM.
poraad.nl,C15,onderwijs HR blog NL,PO-Raad sectororganisatie primair onderwijs met dossiers over werkdruk en strategisch HR.
onderwijsacademie.nl,C15,onderwijs HR blog NL,Onderwijsacademie met blog over HRM en het onderwijs voor schoolleiders.
kock.nl,C15,onderwijs HR blog NL,Adviesbureau met blogs over beleidsrijk HR-beleid voortgezet onderwijs.
arbeidsmarktplatformpo.nl,C15,Arbeidsmarktplatform PO leraar,Expertisecentrum arbeidsmarkt primair onderwijs met onderzoeken over werkbelasting leraren.
caop.nl,C15,Arbeidsmarktplatform PO leraar,Kennisinstituut publieke sector met publicaties over arbeidsmarkt en werkdruk.
stigas.nl,C15,Stigas agrarisch verzuim blog,Arbocatalogus en blog voor agrarische sector met verzuim- en werkdrukcontent.
regioplus.nl,C15,RegioPlus zorgwerkgever blog,Samenwerking regionale werkgeversorganisaties zorg & welzijn met blog over personeel.
zorgpleinnoord.nl,C15,RegioPlus zorgwerkgever blog,Regionaal werkgeversverband zorg Noord-Nederland met artikelen.
zw-connect.nl,C15,RegioPlus zorgwerkgever blog,Online platform zorg & welzijn met arbeidsmarkt- en HR-content.
metaalunie.nl,C15,Metaalunie FME industrie werkgever,Brancheorganisatie MKB-maakindustrie met content over goed werkgeverschap en HR.
fme.nl,C15,Metaalunie FME industrie werkgever,Werkgeversorganisatie technologische industrie met STERK Toolkit en HR-content.
hightechsystems.nl,C15,Metaalunie FME industrie werkgever,Vakmedium high-tech industrie met artikelen over personeel en skills.
circulairemaakindustrie.nl,C15,Metaalunie FME industrie werkgever,Platform circulaire maakindustrie met ondernemerscontent.
transvorm.org,C15,Transvorm zorg arbeidsmarkt,Regionale werkgeversorganisatie zorg/welzijn Brabant met blogs en artikelen.
sboh.nl,C15,SBOH huisarts bedrijfsarts,Werkgever van artsen in opleiding met content over arbozaken en preventief spreekuur.
huisartsopleiding.nl,C15,SBOH huisarts bedrijfsarts,Huisartsopleiding Nederland met handreikingen over goed werkgeverschap.
lad.nl,C15,SBOH huisarts bedrijfsarts,Landelijke vereniging artsen in dienstverband met cao- en HR-content voor zorg.
academysuite.nl,C15,SectorplanPlus zorg welzijn,Opleidingsplatform met blogs over behoud zorgmedewerkers.
care2care.nl,C15,SectorplanPlus zorg welzijn,Adviesbureau zorgsector met artikelen over subsidies en personeelsbehoud.
zorgzijnwerkt.nl,C15,SectorplanPlus zorg welzijn,Regionaal werkgeversverband Haaglanden zorg met arbeidsmarktcontent.
zorgaanzet.org,C15,SectorplanPlus zorg welzijn,Regionaal werkgeversverband zorg Limburg met blog over personeelsbehoud.
zorgenwelzijnzhz.nl,C15,SectorplanPlus zorg welzijn,Regionaal werkgeversplatform Zuid-Holland-Zuid met nieuws zorg & welzijn.
wgvzorgenwelzijn.nl,C15,SectorplanPlus zorg welzijn,Werkgeversvereniging zorg & welzijn Oost-Nederland met nieuwsartikelen.
scabadvies.nl,C15,Goedopgeleidpersoneel bouw infra,HR/arbo-adviesbureau gespecialiseerd in bouw & infra.
bouwenuitvoering.nl,C15,Goedopgeleidpersoneel bouw infra,Vakblad bouw infra techniek met artikelen over branche en personeel.
jijbouweninfra.nl,C15,Goedopgeleidpersoneel bouw infra,Platform vakkrachten bouw & infra voor bedrijven.
