domain,category,source_query,first_impression,filter1_live_nl,filter2_recent_content,filter3_doelgroep_match,overall_pass,reason_if_failed,fetched_at
academysuite.nl,C15,SectorplanPlus zorg welzijn,Opleidingsplatform met blogs over behoud zorgmedewerkers.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
allesoverhr.nl,C13,Tijdschrift voor HRM gastauteur artikel,Platform Alles over HR met expertcontent - HR-doelgroep.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
arbeidsbrein.nl,C16,mindfulness werkgever,Trainingsbureau mindfulness in bedrijf met blogcontent voor werkgevers.,PASS,UNCLEAR,UNCLEAR,FAIL,Geen recente 2025-blogs zichtbaar en doelgroep onduidelijk (NAH-clienten),2026-05-23T12:37:11Z
arboconcern.nl,C2|C16|C9,burnout verzuim arbo,Arbodienst-blog met inhoudelijke verzuim-gerelateerde artikelen.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
arbounie.nl,C16|C8,arbo werkstress,Arbodienst met grote kennisbank voor werknemers en werkgevers.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
avans.nl,C13,Avans HR blog opleiding HRM,Avans Hogeschool met HRM-opleiding - mogelijk kanaal via lectoraten/blogs.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:37:11Z
bedrijfsfitnessnederland.nl,C2|C4,burn-out preventie cijfers,Kennisbank met artikelen over burn-outpreventie en employee benefits.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
besuitable.nl,C2|C16,casemanagement geregistreerd,Be Suitable platform met geregistreerde specialisten en content.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
binnenlandsbestuur.nl,C7,inkomensverzekeraar blog werkgever,Vakmedium voor overheid met partnercontent over inkomenszekerheid en HR.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
bolsterkracht.nl,C11,coach federatie Nederland blog,Coachingbureau met blogs over coachstandaarden.,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:37:11Z
brainnetwork.nl,C11,psychosomatiek blog Nederland werk gezondheid,Psychologie-blog over breinwerking - dichtbij zenuwstelselthema.,PASS,PASS,FAIL,FAIL,Patientgerichte psychologiepraktijk - geen B2B-werkgeversdoelgroep,2026-05-23T12:37:11Z
bvo.nl,C6,leidinggeven blog Nederland artikel,Opleidingsblog over hierarchisch en functioneel leidinggeven,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
centraalbeheer.nl,C1|C16,duurzame inzetbaarheid blog,Verzekeraar zakelijke blog met Lekker Bezig programma over duurzame inzetbaarheid.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
coachcircle.nl,C11,coaching platform Nederland gastauteur artikel,Coachingsmarktplaats met blog-/contentmogelijkheid.,PASS,UNCLEAR,UNCLEAR,FAIL,Coach-marktplaats zonder duidelijke recente content of zuivere B2B-focus,2026-05-23T12:37:11Z
coachlink.nl,C8,NOBCO coachlink artikel publicatie,Online vakdatabase NOBCO met open inzendmogelijkheid via redactie@coachlink.nl.,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:37:11Z
corporatewellbeing.nu,C4,corporate wellbeing blog,Nederlands platform volledig gewijd aan corporate wellbeing programma's.,PASS,FAIL,PASS,FAIL,Geen 2025/2026 content gevonden - platform lijkt inactief,2026-05-23T12:37:11Z
de-online-psycholoog.nl,C11,psycholoog blog werkgever Nederland burn-out,Online psychologenpraktijk met blogs rond burn-out preventie en herstel.,PASS,PASS,FAIL,FAIL,B2C-patiëntenadvies - geen werkgevers-/HR-doelgroep,2026-05-23T12:37:11Z
denkpro.nl,C11,psycholoog blog werkgever Nederland burn-out,Praktijkblog over overspanning en burn-out - matchend met zenuwstelsel-thema.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
devitaliteitsmanager.nl,C4,vitaliteitsmanager blog,Adviespraktijk met blog over verzuimreductie en vitaal leiderschap.,PASS,PASS,PASS,PASS,,2026-05-23T12:37:11Z
dsw.nl,C7,zorgverzekeraar werkgever content,Zorgverzekeraar uit Schiedam met artikelen voor consumenten en werkgevers.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:37:11Z
employes.nl,C5,MKB platform Nederland gastartikel HR,Salaris en HR-software voor MKB met blog over personeelsbeleid,PASS,PASS,PASS,PASS,,2026-05-23T12:39:00Z
exact.com,C10,"""Tellow"" OR ""Exact"" OR ""Yoobi"" ondernemers blog HR personeel",Exact Officient HR-platform met content voor MKB-werkgevers,PASS,PASS,PASS,PASS,,2026-05-23T12:39:00Z
fitvoormorgen.pggmenco.nl,C7,vernet verzuim benchmark zorg,Platform PGGM&CO met producten en diensten rond verzuim in zorg.,PASS,PASS,PASS,PASS,,2026-05-23T12:39:00Z
fooks.nl,C10,verzuimsoftware blog Nederland werkgever,Verzuimsoftware-aanbieder met blog over verzuim op de werkvloer,PASS,PASS,PASS,PASS,,2026-05-23T12:39:00Z
ggznieuws.nl,C4,mentaal welzijn werkvloer,Nieuwsplatform GGZ met regelmatig artikelen over werk en mentale gezondheid.,PASS,PASS,PASS,PASS,,2026-05-23T12:39:00Z
greatplacetowork.nl,C4|C6,burn-out blog werkgever,Werkgeverscertificering met inspiratieblog over werkstress en burn-out.,PASS,PASS,PASS,PASS,,2026-05-23T12:39:00Z
hartenweg.nl,C16,polyvagaal theorie blog,Praktijkblog over polyvagaal theorie en lichaamswerk.,PASS,PASS,FAIL,FAIL,B2C-psychotherapiepraktijk - geen werkgevers- of HR-doelgroep,2026-05-23T12:39:00Z
hetteamlab.nl,C6,Nederlandse leiderschapscoaching platform blog publiceren,Trainingsplatform met leiderschapscontent,PASS,PASS,PASS,PASS,,2026-05-23T12:39:00Z
hr24.nl,C1,expertbijdrage HR,Regionaal HR-netwerk Noord-Nederland met trainingen en kennisdeling.,PASS,PASS,PASS,PASS,,2026-05-23T12:39:00Z
hrpraktijk.nl,C1|C6|C15,HR-platform gastartikel,Grote HR-community met 25.000+ leden; whitepapers en cases over arbo en verzuim staan op de site.,PASS,PASS,PASS,PASS,,2026-05-23T12:39:00Z
ikgastarten.nl,C5,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",KvK-platform voor startende ondernemers met startersverhalen,PASS,PASS,PASS,PASS,,2026-05-23T12:41:00Z
interpolis.nl,C5,Nederlandse ondernemers magazine personeel verzuim,Verzekeraar met magazine Welbevinden over personeel behouden,PASS,UNCLEAR,PASS,PASS,,2026-05-23T12:41:00Z
jehcoaching.nl,C11,coach federatie Nederland blog,Coachingsblog met inhoudelijke artikelen over ICF en coachvak.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:41:00Z
kngf.nl,C8,KNGF fysiotherapie blog gastauteur,Koepel beroepsvereniging fysiotherapeuten met FysioPraxis vakblad en nieuwskanalen.,PASS,PASS,PASS,PASS,,2026-05-23T12:41:00Z
leanz.nl,C2,arbeidsdeskundige UWV,Blog over arbeidsdeskundigen en re-integratie processen.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:41:00Z
liberi.nl,C2,burn-out HR coaching,Coachingplatform met burn-out en bedrijfsgezondheid artikelen voor HR.,PASS,PASS,FAIL,FAIL,B2C-burn-out coaching gericht op cliënten - geen werkgevers/HR-doelgroep,2026-05-23T12:41:00Z
managementboek.nl,C6,Sprout MT schrijf mee gastauteur,Boek- en kennisplatform met auteursprofielen rondom management en leiderschap,PASS,PASS,PASS,PASS,,2026-05-23T12:41:00Z
managementsupport.nl,C6,management vakblad Nederland schrijf mee bijdrage,Vakblad voor management-support en secretariaat-professionals,PASS,PASS,PASS,PASS,,2026-05-23T12:41:00Z
mentalcoaching.nl,C11,mental coach blog NL stress werknemer,Praktijk gericht op stress en vastlopen op werk - aansluitend doelgroep.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:41:00Z
mindfullife.nl,C16,mindfulness op werk,Mindfulness-aanbieder met content over mindfulness op de werkvloer.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:41:00Z
mkbservicedesk.nl,C5,"""MKB Servicedesk"" OR ""De Ondernemer"" gastauteur",Kennisbank van MKB-Nederland met sectie over verzuim en re-integratie,PASS,PASS,PASS,PASS,,2026-05-23T12:43:00Z
nationalezorggids.nl,C12,Nationale Zorggids artikel insturen,Zorgnieuwsplatform met betaalde maar laagdrempelige gastblogoptie voor professionals.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:43:00Z
niceday.app,C14,Niceday burn-out blog,Coaching/therapie app met kennisbank over burn-out en re-integratie.,PASS,UNCLEAR,FAIL,FAIL,B2C-therapie-app gericht op patiënten - geen HR-werkgeversdoelgroep,2026-05-23T12:43:00Z
nlzorgnieuws.nl,C12,Nationale Zorggids artikel insturen,Nieuwsportal over zorg NL - mogelijk kanaal voor branchecontent.,PASS,PASS,UNCLEAR,PASS,,2026-05-23T12:43:00Z
npdi.nl,C2,duurzame inzetbaarheid platform,Nationaal Platform Duurzame Inzetbaarheid; kennisnetwerk met HR/DI focus.,PASS,PASS,PASS,PASS,,2026-05-23T12:43:00Z
